Feature,mean_importance,sd_importance
Methylomirabilota,0.004716373050494929,0.007617604179206104
Cyanobacteriota,0.004388970620076874,0.002130158862971428
Planctomycetota,0.00383498725782812,0.0024363909594723385
Bdellovibrionota,0.0035719491264960706,0.0029978337694826335
Acidobacteriota,0.0016645262723441966,0.0038344463860557863
Latescibacterota,0.0013830848543974694,0.0022678539533524116
Chloroflexota,6.375868712253848e-4,0.003027329631229189
Hydrogenedentes,2.390590406351218e-4,5.947670278391731e-4
Calditrichota,6.852053140096621e-5,1.0302754330184718e-4
Campylobacterota,-2.2168867547018807e-5,1.1540702272266627e-4
Ignavibacteriota,-4.900000000000002e-5,1.0956733089748974e-4
Rhodothermota,-5.42954800510377e-5,2.257808854452883e-4
Armatimonadota,-7.737314703018498e-5,0.0030036927408049283
Methanobacteriota,-8.23462770310261e-5,2.1197868888826846e-4
Halanaerobiaeota,-1.321669650316267e-4,2.823282957915169e-4
Fusobacteriota,-1.5093538573462812e-4,2.286121493668155e-4
Patescibacteria,-1.6123873725043308e-4,0.0014539515697863771
Candidatus.Kryptonia,-2.0167655046713495e-4,3.1846822366827956e-4
Candidatus.Kapabacteria,-2.634685203666232e-4,0.0017064992998379682
Fibrobacterota,-2.764495653689152e-4,0.0019803094197594377
Bacteroidota,-3.331870544573046e-4,0.0036497106042669516
Chlamydiota,-4.767659133590082e-4,3.8950464668689554e-4
Abditibacteriota,-4.8139016411091756e-4,0.0024918549544619578
Spirochaetota,-5.170212103999544e-4,2.854331861276548e-4
Entotheonellaeota,-5.246137909324117e-4,4.867144880006539e-4
tillage,-6.723442726123479e-4,4.810585991447248e-4
Myxococcota,-7.456890816391387e-4,0.0011306509285643998
Deinococcota,-7.819328972927601e-4,6.567396002122748e-4
Thermoproteota,-8.171053490224119e-4,6.269483697130709e-4
Thermodesulfobacteriota,-9.614026440059575e-4,0.0014089004334488734
Bacillota,-0.0013344942378488212,0.0023680489747867645
Actinomycetota,-0.001342130865228971,0.0014301574739888666
Elusimicrobiota,-0.001503233580125419,0.0011874255601858903
Dependentiae,-0.001584146756812591,0.0014845554950433054
Nitrospirota,-0.0016135128230208905,0.0013446562011571867
Verrucomicrobiota,-0.0022588067974561614,0.0016593852152839786
Sumerlaeota,-0.0022756744836688824,0.0010854163644981431
Pseudomonadota,-0.0025055717208748696,0.001295843350755906
Gemmatimonadota,-0.0031675550665814117,0.00100206186284776
