Feature,mean_importance,Phylum,Class,Family,Genus
Abditibacteriota,-4.8139016411091756e-4,Abditibacteriota,NA,NA,NA
Acidobacteriota,0.0016645262723441966,Acidobacteriota,NA,NA,NA
Actinomycetota,-0.001342130865228971,Actinomycetota,NA,NA,NA
Armatimonadota,-7.737314703018498e-5,Armatimonadota,NA,NA,NA
Bacillota,-0.0013344942378488212,Bacillota,NA,NA,NA
Bacteroidota,-3.331870544573046e-4,Bacteroidota,NA,NA,NA
Bdellovibrionota,0.0035719491264960706,Bdellovibrionota,NA,NA,NA
Calditrichota,6.852053140096621e-5,Calditrichota,NA,NA,NA
Campylobacterota,-2.2168867547018807e-5,Campylobacterota,NA,NA,NA
Chlamydiota,-4.767659133590082e-4,Chlamydiota,NA,NA,NA
