"Metric","Value","Interpretation"
"Sample Size (Test)","21","Test set size"
"Number of Features","10","Principal components used"
"Number of Trees","200","Random forest trees"
"mtry Parameter","3","Variables per split"
"","",""
"Accuracy","0.714","Overall classification accuracy"
"Sensitivity (TPR)","0.6","Proportion of GT+ correctly identified"
"Specificity (TNR)","0.818","Proportion of GT- correctly identified"
"Precision (PPV)","0.75","Proportion of predicted GT+ that are true GT+"
"Negative Pred. Value","0.692","Proportion of predicted GT- that are true GT-"
"F1-Score","0.667","Harmonic mean of precision and recall"
"ROC AUC","0.582","Area under ROC curve"
"","",""
"True Negatives","9","Correctly classified GT absent"
"False Positives","2","Incorrectly classified as GT present"
"False Negatives","4","Missed GT present cases"
"True Positives","6","Correctly classified GT present"
