"Improved_Taxonomic_Name","Original_Feature_ID","Times_Selected","Selection_Rate"
"Haematommic.acid","Haematommic.acid",20,1
"X3.4.Dihydroxybenzaldehyde","X3.4.Dihydroxybenzaldehyde",17,0.85
"Ribonolactone","Ribonolactone",10,0.5
"Glycerol.Tributyrate","Glycerol.Tributyrate",5,0.25
"Mannitol","Mannitol",5,0.25
"X4.Hydroxycoumarin","X4.Hydroxycoumarin",4,0.2
"N.Isovalerylglycine","N.Isovalerylglycine",3,0.15
"X1.5.Undecalactone","X1.5.Undecalactone",2,0.1
"X1.Palmitoyl.2.hydroxy.sn.glycero.3.PC","X1.Palmitoyl.2.hydroxy.sn.glycero.3.PC",2,0.1
"Diethanolamine","Diethanolamine",2,0.1
"Gigantol","Gigantol",1,0.05
"Massbank.NA001087.Coniferaldehyde","Massbank.NA001087.Coniferaldehyde",1,0.05
"metconazole","metconazole",1,0.05
"Gitogenin","Gitogenin",1,0.05
"Raspberry.ketone.glucoside","Raspberry.ketone.glucoside",1,0.05
"Soyasapogenol.B","Soyasapogenol.B",1,0.05
"X2.4.Dimethylbenzaldehyde","X2.4.Dimethylbenzaldehyde",1,0.05
"ACETYL.ARGININE...40.0.eV","ACETYL.ARGININE...40.0.eV",1,0.05
"STACHYOSE","STACHYOSE",1,0.05
"CHOLATE","CHOLATE",1,0.05
"THREONINE","THREONINE",1,0.05
"N6.Methyladenine","N6.Methyladenine",1,0.05
"Spectral.Match.to.Matairesinol.from.NIST14","Spectral.Match.to.Matairesinol.from.NIST14",1,0.05
