"Iteration","Model","Accuracy","Balanced_Accuracy","Kappa","AUC","Sensitivity","Specificity","F1_Score","N_Features"
1,"Boruta_RF",0.470588235294118,0.465277777777778,-0.0699300699300699,0.541666666666667,0.555555555555556,0.375,0.526315789473684,3
1,"Properly_Tuned_RF",0.529411764705882,0.527777777777778,0.0555555555555555,0.5,0.555555555555556,0.5,0.555555555555556,676
1,"Improved_Antifungal_RF",0.470588235294118,0.472222222222222,-0.0551724137931034,0.444444444444444,0.444444444444444,0.5,0.470588235294118,33
2,"Boruta_RF",0.705882352941177,0.715277777777778,0.421768707482993,0.805555555555556,0.555555555555556,0.875,0.666666666666667,2
2,"Properly_Tuned_RF",0.529411764705882,0.527777777777778,0.0555555555555555,0.597222222222222,0.555555555555556,0.5,0.555555555555556,676
2,"Improved_Antifungal_RF",0.529411764705882,0.513888888888889,0.0285714285714286,0.5,0.777777777777778,0.25,0.636363636363636,33
3,"Boruta_RF",0.470588235294118,0.465277777777778,-0.0699300699300699,0.513888888888889,0.555555555555556,0.375,0.526315789473684,3
3,"Properly_Tuned_RF",0.588235294117647,0.583333333333333,0.167832167832168,0.513888888888889,0.666666666666667,0.5,0.631578947368421,676
3,"Improved_Antifungal_RF",0.529411764705882,0.520833333333333,0.0422535211267605,0.5,0.666666666666667,0.375,0.6,33
4,"Boruta_RF",0.470588235294118,0.472222222222222,-0.0551724137931034,0.541666666666667,0.444444444444444,0.5,0.470588235294118,4
4,"Properly_Tuned_RF",0.529411764705882,0.534722222222222,0.0684931506849315,0.486111111111111,0.444444444444444,0.625,0.5,676
4,"Improved_Antifungal_RF",0.352941176470588,0.354166666666667,-0.289655172413793,0.638888888888889,0.333333333333333,0.375,0.352941176470588,33
5,"Boruta_RF",0.294117647058824,0.291666666666667,-0.416666666666667,0.777777777777778,0.333333333333333,0.25,0.333333333333333,2
5,"Properly_Tuned_RF",0.470588235294118,0.458333333333333,-0.0851063829787236,0.5,0.666666666666667,0.25,0.571428571428572,676
5,"Improved_Antifungal_RF",0.411764705882353,0.402777777777778,-0.197183098591549,0.5,0.555555555555556,0.25,0.5,33
6,"Boruta_RF",0.5,0.5,0,0.5,0.5,0.5,0.5,0
6,"Properly_Tuned_RF",0.470588235294118,0.451388888888889,-0.100719424460432,0.486111111111111,0.777777777777778,0.125,0.608695652173913,676
6,"Improved_Antifungal_RF",0.470588235294118,0.472222222222222,-0.0551724137931034,0.458333333333333,0.444444444444444,0.5,0.470588235294118,33
7,"Boruta_RF",0.529411764705882,0.527777777777778,0.0555555555555555,0.527777777777778,0.555555555555556,0.5,0.555555555555556,8
7,"Properly_Tuned_RF",0.352941176470588,0.354166666666667,-0.289655172413793,0.722222222222222,0.333333333333333,0.375,0.352941176470588,676
7,"Improved_Antifungal_RF",0.411764705882353,0.409722222222222,-0.180555555555556,0.527777777777778,0.444444444444444,0.375,0.444444444444444,33
8,"Boruta_RF",0.647058823529412,0.645833333333333,0.291666666666667,0.694444444444444,0.666666666666667,0.625,0.666666666666667,3
8,"Properly_Tuned_RF",0.470588235294118,0.472222222222222,-0.0551724137931034,0.451388888888889,0.444444444444444,0.5,0.470588235294118,676
8,"Improved_Antifungal_RF",0.588235294117647,0.597222222222222,0.190476190476191,0.555555555555556,0.444444444444444,0.75,0.533333333333333,33
9,"Boruta_RF",0.294117647058824,0.291666666666667,-0.416666666666667,0.694444444444444,0.333333333333333,0.25,0.333333333333333,7
9,"Properly_Tuned_RF",0.411764705882353,0.402777777777778,-0.197183098591549,0.722222222222222,0.555555555555556,0.25,0.5,676
9,"Improved_Antifungal_RF",0.411764705882353,0.402777777777778,-0.197183098591549,0.625,0.555555555555556,0.25,0.5,33
10,"Boruta_RF",0.764705882352941,0.756944444444444,0.52112676056338,0.819444444444444,0.888888888888889,0.625,0.8,5
10,"Properly_Tuned_RF",0.529411764705882,0.527777777777778,0.0555555555555555,0.527777777777778,0.555555555555556,0.5,0.555555555555556,676
10,"Improved_Antifungal_RF",0.588235294117647,0.590277777777778,0.179310344827586,0.548611111111111,0.555555555555556,0.625,0.588235294117647,33
