"Model","Metric","Mean","SD","Min","Max"
"Boruta_RF","Accuracy",0.515,0.156,0.294,0.765
"Boruta_RF","Balanced_Accuracy",0.513,0.157,0.292,0.757
"Boruta_RF","Kappa",0.026,0.315,-0.417,0.521
"Boruta_RF","AUC",0.642,0.13,0.5,0.819
"Boruta_RF","Sensitivity",0.539,0.162,0.333,0.889
"Boruta_RF","Specificity",0.488,0.19,0.25,0.875
"Boruta_RF","F1_Score",0.538,0.146,0.333,0.8
"Boruta_RF","N_Features",3.7,2.4,0,8
"Properly_Tuned_RF","Accuracy",0.488,0.068,0.353,0.588
"Properly_Tuned_RF","Balanced_Accuracy",0.484,0.07,0.354,0.583
"Properly_Tuned_RF","Kappa",-0.032,0.139,-0.29,0.168
"Properly_Tuned_RF","AUC",0.551,0.098,0.451,0.722
"Properly_Tuned_RF","Sensitivity",0.556,0.128,0.333,0.778
"Properly_Tuned_RF","Specificity",0.412,0.156,0.125,0.625
"Properly_Tuned_RF","F1_Score",0.53,0.079,0.353,0.632
"Properly_Tuned_RF","N_Features",676,0,676,676
"Improved_Antifungal_RF","Accuracy",0.476,0.081,0.353,0.588
"Improved_Antifungal_RF","Balanced_Accuracy",0.474,0.082,0.354,0.597
"Improved_Antifungal_RF","Kappa",-0.053,0.164,-0.29,0.19
"Improved_Antifungal_RF","AUC",0.53,0.064,0.444,0.639
"Improved_Antifungal_RF","Sensitivity",0.522,0.129,0.333,0.778
"Improved_Antifungal_RF","Specificity",0.425,0.169,0.25,0.75
"Improved_Antifungal_RF","F1_Score",0.51,0.084,0.353,0.636
"Improved_Antifungal_RF","N_Features",33,0,33,33
