"Observed","Shannon","seq_count","sample_name"
14,2.4929133113258,137,"fk46"
16,2.43540650356422,182,"fk220"
13,2.18587854689413,153,"fk21"
4,1.06286188336821,57,"fk224"
10,1.92034859488159,109,"fk215"
1,0,5,"fk161"
2,0.693147180559945,8,"fk81"
4,0.989149309862704,39,"fk217"
5,1.47886219611663,135,"fk210"
2,0.670008979827427,28,"fk219"
2,0.693147180559945,16,"fk26"
6,1.64327859508501,98,"fk140"
3,0.972769638249483,26,"fk248"
1,0,14,"fk233"
3,0.958000280088773,18,"fk227"
3,0.985504333463563,56,"fk218"
6,1.60973591022912,80,"fk245"
14,2.18330666622218,252,"fk246"
1,0,2,"fk221"
5,1.50880997583221,27,"fk234"
2,0.682908104700472,7,"fk242"
5,1.31725628964076,88,"fk230"
5,1.10962074613268,178,"fk226"
12,2.26680111335791,77,"fk153"
1,0,1,"fk232"
11,2.27563229482518,76,"fk212"
5,1.46250199068284,127,"fk154"
6,1.57592183316222,59,"fk222"
8,2.0202103221343,243,"fk241"
19,2.50176775537724,591,"fk211"
3,1.00424247305408,7,"fk155"
0,0,0,"fk216"
5,1.3099905328263,44,"fk214"
6,1.70069287461408,46,"fk34"
5,1.4958756043699,49,"fk223"
9,1.98060398529045,170,"fk240"
7,1.77289816747574,129,"fk238"
5,1.47619234493585,34,"fk109"
4,1.05145852722295,32,"fk225"
1,0,1,"fk180"
4,1.34212572274875,32,"fk231"
16,2.33736835146401,315,"fk236"
2,0.645033151676034,26,"fk239"
0,0,0,"fk250"
3,1.09791344679333,76,"fk179"
5,1.19843720673638,33,"fk213"
30,3.01629362777085,489,"fk237"
22,2.89798645020863,369,"fk229"
8,1.70676585465538,86,"fk127"
24,2.8283542729892,329,"fk128"
9,1.88792002162526,126,"fk243"
11,2.18730943084498,112,"fk235"
13,2.29561149787653,124,"fk129"
4,1.15698764434527,26,"fk244"
29,3.04521496850312,455,"fk247"
13,2.29668415485726,135,"fk249"
5,1.46813993901621,11,"fk105"
49,3.66821250253296,412,"fk90"
28,3.0594516606215,270,"fk88"
14,2.48317914158565,97,"fk89"
17,2.43499085580158,107,"fk83"
0,0,0,"fk93"
1,0,1,"fk95"
94,4.2756531965783,1689,"fk108"
36,3.37049887575858,293,"fk87"
510,5.84110575085889,8691,"fk80"
154,4.56718412550219,4384,"fk84"
91,4.07444644198945,1208,"fk86"
83,4.134302224082,1351,"fk107"
68,3.78210917400826,808,"fk85"
29,3.13004237187848,103,"fk103"
97,4.22095403214139,1137,"fk99"
43,3.52443761531131,295,"fk104"
86,4.12216810947466,1047,"fk101"
78,4.0157627104236,793,"fk98"
64,4.00488522659627,248,"fk94"
102,4.37507463922014,1204,"fk97"
115,4.47639856178247,1351,"fk75"
