"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ESV_1","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_2","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_3","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
"ESV_4","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
"ESV_5","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_6","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_7","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_8","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_9","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp. SEMIA 6399"
"ESV_10","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp. SEMIA 6399"
"ESV_11","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium lablabi"
"ESV_12","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium lablabi"
"ESV_13","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_14","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_15","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_16","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_17","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
"ESV_18","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
"ESV_19","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Arthrobacter sp. Hiyo4"
"ESV_20","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Arthrobacter sp. Hiyo4"
"ESV_21","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Arthrobacter sp. Hiyo4"
"ESV_22","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Arthrobacter sp. Hiyo4"
"ESV_23","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","uncultured bacterium"
"ESV_24","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","uncultured bacterium"
"ESV_25","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
"ESV_26","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
"ESV_27","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Incertae Sedis","uncultured bacterium"
"ESV_28","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Incertae Sedis","uncultured bacterium"
"ESV_29","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_30","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_31","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_32","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_33","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium lablabi"
"ESV_34","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium lablabi"
"ESV_35","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
"ESV_36","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
"ESV_37","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp. SEMIA 6399"
"ESV_38","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp. SEMIA 6399"
"ESV_39","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Incertae Sedis","Incertae Sedis","uncultured Acidobacteria bacterium"
"ESV_40","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Incertae Sedis","Incertae Sedis","uncultured Acidobacteria bacterium"
"ESV_41","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_42","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_43","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_44","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_45","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_46","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methyloligellaceae","Incertae Sedis","metagenome"
"ESV_47","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
"ESV_48","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
"ESV_49","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
"ESV_50","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae Sedis","metagenome"
