,Model,N_Features,Mean_Accuracy,SE_Accuracy,Mean_Balanced_Accuracy,SE_Balanced_Accuracy,Mean_AUC,SE_AUC,AUC_CI_Lower,AUC_CI_Upper
metabolic models,GBM,676,0.524,0.04,0.535,0.029,0.612,0.032,0.549,0.676
,ElasticNet,676,0.51,0.034,0.496,0.003,0.512,0.008,0.496,0.528
,RF,676,0.505,0.034,0.526,0.022,0.567,0.028,0.512,0.623
,Ensemble,676,0.533,0.036,0.546,0.019,0.565,0.022,0.521,0.609
,PCA_RF,10,0.49,0.035,0.504,0.03,0.572,0.021,0.53,0.613
,FS_metab_GLM,3,0.708,0.02,0.71,0.02,0.759,0.02,0.72,0.798
,,,,,,,,,,
microbial models,RF Genus,1457,0.535,0.043,0.498,0.046,0.622,0.028,0.567,0.677
,RF_Family,543,0.552,0.034,0.518,0.038,0.609,0.042,0.526,0.692
,RF_Phylum,38,0.473,0.054,0.444,0.057,0.591,0.025,0.542,0.639
,RF_Class,83,0.474,0.038,0.448,0.044,0.529,0.045,0.441,0.617
,RF_Order,304,0.568,0.022,0.537,0.032,0.504,0.07,0.368,0.641
,RF_Pseudomonas_Bacillus,926,0.554,0.01,0.5,0,0.449,0.021,0.407,0.491
,FS_genus_GLM,3,0.733,0.026,0.712,0.033,0.838,0.023,0.793,0.882
