,,,,
,Metabolite_Name,Original_Feature_Name,Times_Selected,Selection_Rate
metabolite selection,Haematommic acid,Haematommic.acid,20,1
,4 Dihydroxybenzaldehyde,X3.4.Dihydroxybenzaldehyde,17,0.85
,Ribonolactone,Ribonolactone,10,0.5
,Glycerol Tributyrate,Glycerol.Tributyrate,5,0.25
,Mannitol,Mannitol,5,0.25
,Hydroxycoumarin,X4.Hydroxycoumarin,4,0.2
,N Isovalerylglycine,N.Isovalerylglycine,3,0.15
,5 Undecalactone,X1.5.Undecalactone,2,0.1
,Palmitoyl 2 hydroxy sn-glycero 3 PC,X1.Palmitoyl.2.hydroxy.sn.glycero.3.PC,2,0.1
,Diethanolamine,Diethanolamine,2,0.1
,Gigantol,Gigantol,1,0.05
,Massbank NA001087 Coniferaldehyde,Massbank.NA001087.Coniferaldehyde,1,0.05
,Metconazole,metconazole,1,0.05
,Gitogenin,Gitogenin,1,0.05
,Raspberry ketone glucoside,Raspberry.ketone.glucoside,1,0.05
,Soyasapogenol B,Soyasapogenol.B,1,0.05
,4 Dimethylbenzaldehyde,X2.4.Dimethylbenzaldehyde,1,0.05
,ACETYL ARGININE 40 0 eV,ACETYL.ARGININE...40.0.eV,1,0.05
,STACHYOSE,STACHYOSE,1,0.05
,CHOLATE,CHOLATE,1,0.05
,THREONINE,THREONINE,1,0.05
,N6 Methyladenine,N6.Methyladenine,1,0.05
,Matairesinol,Spectral.Match.to.Matairesinol.from.NIST14,1,0.05
,Improved_Taxonomic_Name,Original_Feature_Name,Times_Selected,Selection_Rate
genus selection,Acidiferrimicrobium,Acidiferrimicrobium,20,1
,Unclassified Paracoccaceae,Incertae Sedis.317,20,1
,Mariniblastus,Mariniblastus,16,0.8
,Unclassified Pirellulaceae,Incertae Sedis.51,7,0.35
,AKYG587,AKYG587,4,0.2
,Novosphingobium,Novosphingobium,3,0.15
,Unclassified Aggregatilineales,Incertae Sedis.214,3,0.15
,Unclassified 01D2Z36,Incertae Sedis.340,2,0.1
,Unclassified Rokubacteriales,Incertae Sedis.16,2,0.1
,Barnesiella,Barnesiella,1,0.05
,Caryophanon,Caryophanon,1,0.05
,Nakamurella,Nakamurella,1,0.05
,Marmoricola,Marmoricola,1,0.05
,Hyalangium,Hyalangium,1,0.05
,Unclassified Sandaracinaceae,Incertae Sedis.59,1,0.05
,Unclassified Geobacteraceae,Incertae Sedis.29,1,0.05
,Symbiobacterium,Symbiobacterium,1,0.05
,Unclassified WX65,Incertae Sedis.93,1,0.05
,Unclassified Planctomycetales,Incertae Sedis.27,1,0.05
