"","Observed","Shannon","Simpson"
"fk46",14,2.4929133113258,0.906388193297459
"fk220",16,2.43540650356422,0.882441734090086
"fk21",13,2.18587854689413,0.858558674014268
"fk224",4,1.06286188336821,0.555863342566944
"fk215",10,1.92034859488159,0.822658025418736
"fk161",1,0,0
"fk81",2,0.693147180559945,0.5
"fk217",4,0.989149309862704,0.515450361604208
"fk210",5,1.47886219611663,0.746008230452675
"fk219",2,0.670008979827427,0.477040816326531
"fk26",2,0.693147180559945,0.5
"fk140",6,1.64327859508501,0.793419408579758
"fk248",3,0.972769638249483,0.576923076923077
"fk233",1,0,0
"fk227",3,0.958000280088773,0.58641975308642
"fk218",3,0.985504333463563,0.596301020408163
"fk245",6,1.60973591022912,0.7753125
"fk246",14,2.18330666622218,0.852450239355001
"fk221",1,0,0
"fk234",5,1.50880997583221,0.762688614540466
"fk242",2,0.682908104700472,0.489795918367347
"fk230",5,1.31725628964076,0.706611570247934
"fk226",5,1.10962074613268,0.564512056558515
"fk153",12,2.26680111335791,0.874009107775342
"fk232",1,0,0
"fk212",11,2.27563229482518,0.88781163434903
"fk154",5,1.46250199068284,0.743629487258975
"fk222",6,1.57592183316222,0.77391554151106
"fk241",8,2.0202103221343,0.860437941370726
"fk211",19,2.50176775537724,0.888883162840235
"fk155",3,1.00424247305408,0.612244897959184
"fk214",5,1.3099905328263,0.648760330578512
"fk34",6,1.70069287461408,0.802457466918715
"fk223",5,1.4958756043699,0.753852561432736
"fk240",9,1.98060398529045,0.843460207612457
"fk238",7,1.77289816747574,0.803918033772009
"fk109",5,1.47619234493585,0.738754325259516
"fk225",4,1.05145852722295,0.556640625
"fk180",1,0,0
"fk231",4,1.34212572274875,0.7265625
"fk236",16,2.33736835146401,0.874416729654825
"fk239",2,0.645033151676034,0.452662721893491
"fk179",3,1.09791344679333,0.666204986149584
"fk213",5,1.19843720673638,0.648301193755739
"fk237",30,3.01629362777085,0.936747504401537
"fk229",22,2.89798645020863,0.935304529197054
"fk127",8,1.70676585465538,0.77203893996755
"fk128",24,2.8283542729892,0.929241230217755
"fk243",9,1.88792002162526,0.821995464852608
"fk235",11,2.18730943084498,0.869579081632653
"fk129",13,2.29561149787653,0.881243496357961
"fk244",4,1.15698764434527,0.627218934911243
"fk247",29,3.04521496850312,0.941181016785412
"fk249",13,2.29668415485726,0.87517146776406
"fk105",5,1.46813993901621,0.743801652892562
"fk90",49,3.66821250253296,0.968399472146291
"fk88",28,3.0594516606215,0.942880658436214
"fk89",14,2.48317914158565,0.906153682644277
"fk83",17,2.43499085580158,0.885492182723382
"fk95",1,0,0
"fk108",94,4.2756531965783,0.98280694116249
"fk87",36,3.37049887575858,0.959498654614498
"fk80",510,5.84110575085889,0.995951265638082
"fk84",154,4.56718412550219,0.984572091946827
"fk86",91,4.07444644198945,0.977107637822903
"fk107",83,4.134302224082,0.979660870227443
"fk85",68,3.78210917400826,0.9668690569552
"fk103",29,3.13004237187848,0.94749740786125
"fk99",97,4.22095403214139,0.981066222967908
"fk104",43,3.52443761531131,0.961011203677104
"fk101",86,4.12216810947466,0.978213096225264
"fk98",78,4.0157627104236,0.975811363300252
"fk94",64,4.00488522659627,0.979481009365245
"fk97",102,4.37507463922014,0.984288252889041
"fk75",115,4.47639856178247,0.985485982091835
