"","Observed","Shannon","Simpson"
"X1_demultiplex.bc1007..bc1056.hifi_reads",5428,8.43140221896498,0.999713939443299
"X1_demultiplex.bc1012..bc1065.hifi_reads",5000,8.37865562531656,0.999703850883112
"X1_demultiplex.bc1015..bc1044.hifi_reads",3570,8.03957907543569,0.999589028183618
"X1_demultiplex.bc1022..bc1059.hifi_reads",5573,8.48467051269659,0.999739045306057
"X1_demultiplex.bc1005..bc1101.hifi_reads",7890,8.80105544545464,0.999793996332826
"X1_demultiplex.bc1007..bc1096.hifi_reads",6452,8.65228804082096,0.999779109113406
"X1_demultiplex.bc1008..bc1082.hifi_reads",4871,8.36308382332148,0.999676605480446
"X1_demultiplex.bc1012..bc1082.hifi_reads",4489,8.30108548462934,0.999691818779668
"X1_demultiplex.bc1015..bc1082.hifi_reads",5771,8.53826977135105,0.999752735072282
"X1_demultiplex.bc1020..bc1107.hifi_reads",6983,8.67238946318997,0.99976018933751
"X1_demultiplex.bc1022..bc1100.hifi_reads",3391,7.99098655631099,0.99954848116175
"X1_demultiplex.bc1024..bc1100.hifi_reads",4489,8.25531826071756,0.999638924263244
"X2_demultiplex.bc1007..bc1045.hifi_reads",2314,7.65523363488355,0.999447448979592
"X2_demultiplex.bc1007..bc1075.hifi_reads",3967,8.14286745688856,0.999606053880755
"X2_demultiplex.bc1015..bc1033.hifi_reads",2204,7.63471803328076,0.999455997852953
"X2_demultiplex.bc1015..bc1060.hifi_reads",3616,8.02350956589229,0.999566057505747
"X2_demultiplex.bc1022..bc1056.hifi_reads",4202,8.2153374144072,0.999647676582265
"X2_demultiplex.bc1024..bc1056.hifi_reads",5521,8.4327117135428,0.999648156622003
"X2_demultiplex.bc1005..bc1083.hifi_reads",3247,7.98524719443384,0.999589855368828
"X2_demultiplex.bc1005..bc1110.hifi_reads",3359,8.03788983276915,0.999630147067682
"X2_demultiplex.bc1008..bc1101.hifi_reads",3697,8.1081242545344,0.999623768181632
"X2_demultiplex.bc1012..bc1101.hifi_reads",3960,8.06133320189361,0.999511524447919
"X2_demultiplex.bc1020..bc1096.hifi_reads",2339,7.65089606549005,0.9994105619923
"X3_demultiplex.bc1005..bc1035.hifi_reads",2785,7.81988340993637,0.999518113037614
"X3_demultiplex.bc1005..bc1044.hifi_reads",3723,8.17065375023091,0.999688349114789
"X3_demultiplex.bc1007..bc1035.hifi_reads",3538,8.02883687150324,0.999586073088782
"X3_demultiplex.bc1007..bc1044.hifi_reads",3874,8.14653002130255,0.99964820745632
"X3_demultiplex.bc1007..bc1056.hifi_reads",7585,8.75194577225171,0.999768223073593
"X3_demultiplex.bc1008..bc1035.hifi_reads",2594,7.75102237470975,0.999472349933399
"X3_demultiplex.bc1008..bc1044.hifi_reads",3060,7.92843510742799,0.999559088844258
"X3_demultiplex.bc1012..bc1035.hifi_reads",2579,7.71085865795588,0.999411747490156
"X3_demultiplex.bc1012..bc1044.hifi_reads",2347,7.61133024371613,0.999344158727071
"X3_demultiplex.bc1012..bc1065.hifi_reads",4617,8.27644037094141,0.999663561434149
"X3_demultiplex.bc1015..bc1035.hifi_reads",2664,7.77715747756255,0.999494076050431
"X3_demultiplex.bc1015..bc1044.hifi_reads",2672,7.72256506573114,0.999424089849068
"X3_demultiplex.bc1020..bc1035.hifi_reads",1228,7.03138886047297,0.998981282437892
"X3_demultiplex.bc1022..bc1035.hifi_reads",3553,8.07895697318627,0.999636106339989
"X3_demultiplex.bc1022..bc1059.hifi_reads",7915,8.79167730594019,0.999783630754053
"X3_demultiplex.bc1024..bc1033.hifi_reads",289,5.66642668811243,0.996539792387543
"X3_demultiplex.bc1024..bc1035.hifi_reads",3151,7.92297655358284,0.999511247320874
"X3_demultiplex.bc1005..bc1096.hifi_reads",4448,8.2277964373931,0.999639302533037
"X3_demultiplex.bc1007..bc1096.hifi_reads",4829,8.19059978645128,0.999363068712892
"X3_demultiplex.bc1008..bc1082.hifi_reads",3175,7.95644191628035,0.999566626748094
"X3_demultiplex.bc1012..bc1107.hifi_reads",6393,8.62763664182668,0.999759837255347
"X3_demultiplex.bc1022..bc1100.hifi_reads",4604,8.33291458150337,0.999702908553056
"X3_demultiplex.bc1024..bc1089.hifi_reads",2780,7.866671811485,0.999574609375
"X4_demultiplex.bc1005..bc1060.hifi_reads",5072,8.32385843457445,0.999654496831456
"X4_demultiplex.bc1015..bc1044.hifi_reads",3505,7.99466386895892,0.999558061276592
"X4_demultiplex.bc1020..bc1065.hifi_reads",1639,7.35266677639312,0.999303084612042
