"Iteration","Model","AUC"
1,"Stability_Logistic",0.583333333333333
2,"Stability_Logistic",0.5
3,"Stability_Logistic",0.833333333333333
4,"Stability_Logistic",0.666666666666667
5,"Stability_Logistic",1
6,"Stability_Logistic",0.833333333333333
7,"Stability_Logistic",0.6875
8,"Stability_Logistic",0.625
9,"Stability_Logistic",1
10,"Stability_Logistic",0.875
11,"Stability_Logistic",0.666666666666667
12,"Stability_Logistic",0.75
13,"Stability_Logistic",0.75
14,"Stability_Logistic",0.666666666666667
15,"Stability_Logistic",0.833333333333333
16,"Stability_Logistic",0.875
17,"Stability_Logistic",0.75
18,"Stability_Logistic",0.833333333333333
19,"Stability_Logistic",0.8125
20,"Stability_Logistic",0.75
21,"Stability_Logistic",0.75
22,"Stability_Logistic",0.9375
23,"Stability_Logistic",0.888888888888889
24,"Stability_Logistic",0.75
25,"Stability_Logistic",0.666666666666667
26,"Stability_Logistic",0.5
27,"Stability_Logistic",0.666666666666667
28,"Stability_Logistic",0.8125
29,"Stability_Logistic",0.75
30,"Stability_Logistic",0.777777777777778
31,"Stability_Logistic",0.583333333333333
32,"Stability_Logistic",0.583333333333333
33,"Stability_Logistic",0.583333333333333
34,"Stability_Logistic",0.875
35,"Stability_Logistic",1
36,"Stability_Logistic",0.625
37,"Stability_Logistic",0.833333333333333
38,"Stability_Logistic",0.8125
39,"Stability_Logistic",0.6875
40,"Stability_Logistic",1
41,"Stability_Logistic",0.8125
42,"Stability_Logistic",0.625
43,"Stability_Logistic",0.875
44,"Stability_Logistic",0.6875
45,"Stability_Logistic",1
46,"Stability_Logistic",0.666666666666667
47,"Stability_Logistic",0.8125
48,"Stability_Logistic",0.583333333333333
49,"Stability_Logistic",0.5
50,"Stability_Logistic",1
1,"Protective_Score",0.875
2,"Protective_Score",0.666666666666667
3,"Protective_Score",0.75
4,"Protective_Score",0.9375
5,"Protective_Score",0.75
6,"Protective_Score",0.916666666666667
7,"Protective_Score",0.75
8,"Protective_Score",0.75
9,"Protective_Score",0.666666666666667
10,"Protective_Score",1
11,"Protective_Score",0.75
12,"Protective_Score",0.833333333333333
13,"Protective_Score",0.75
14,"Protective_Score",0.666666666666667
15,"Protective_Score",1
16,"Protective_Score",1
17,"Protective_Score",0.444444444444444
18,"Protective_Score",0.6875
19,"Protective_Score",0.75
20,"Protective_Score",0.5625
21,"Protective_Score",0.9375
22,"Protective_Score",1
23,"Protective_Score",0.75
24,"Protective_Score",0.916666666666667
25,"Protective_Score",0.583333333333333
26,"Protective_Score",0.625
27,"Protective_Score",0.5
28,"Protective_Score",0.8125
29,"Protective_Score",0.777777777777778
30,"Protective_Score",0.5
31,"Protective_Score",1
32,"Protective_Score",0.625
33,"Protective_Score",0.833333333333333
34,"Protective_Score",0.75
35,"Protective_Score",0.5
36,"Protective_Score",0.9375
37,"Protective_Score",0.833333333333333
38,"Protective_Score",0.666666666666667
39,"Protective_Score",0.833333333333333
40,"Protective_Score",1
41,"Protective_Score",0.8125
42,"Protective_Score",0.75
43,"Protective_Score",0.666666666666667
44,"Protective_Score",0.583333333333333
45,"Protective_Score",1
46,"Protective_Score",1
47,"Protective_Score",0.875
48,"Protective_Score",0.875
49,"Protective_Score",0.5625
50,"Protective_Score",1
