"Iteration","Model","AUC","Accuracy","Balanced_Accuracy"
1,"Stability_Logistic",0.583333333333333,0.714285714285714,0.708333333333333
2,"Stability_Logistic",0.5,0.428571428571429,0.416666666666667
3,"Stability_Logistic",0.833333333333333,0.714285714285714,0.75
4,"Stability_Logistic",0.666666666666667,0.571428571428571,0.541666666666667
5,"Stability_Logistic",1,0.857142857142857,0.833333333333333
6,"Stability_Logistic",0.833333333333333,0.714285714285714,0.75
7,"Stability_Logistic",0.6875,0.75,0.75
8,"Stability_Logistic",0.625,0.625,0.625
9,"Stability_Logistic",1,1,1
10,"Stability_Logistic",0.875,0.75,0.75
11,"Stability_Logistic",0.666666666666667,0.857142857142857,0.833333333333333
12,"Stability_Logistic",0.75,0.875,0.875
13,"Stability_Logistic",0.75,0.375,0.375
14,"Stability_Logistic",0.666666666666667,0.833333333333333,0.833333333333333
15,"Stability_Logistic",0.833333333333333,0.571428571428571,0.583333333333333
16,"Stability_Logistic",0.875,0.75,0.75
17,"Stability_Logistic",0.75,0.571428571428571,0.583333333333333
18,"Stability_Logistic",0.833333333333333,0.714285714285714,0.708333333333333
19,"Stability_Logistic",0.8125,0.75,0.75
20,"Stability_Logistic",0.75,0.714285714285714,0.666666666666667
21,"Stability_Logistic",0.75,0.75,0.75
22,"Stability_Logistic",0.9375,0.875,0.875
23,"Stability_Logistic",0.888888888888889,0.666666666666667,0.666666666666667
24,"Stability_Logistic",0.75,0.571428571428571,0.625
25,"Stability_Logistic",0.666666666666667,0.714285714285714,0.708333333333333
26,"Stability_Logistic",0.5,0.5,0.5
27,"Stability_Logistic",0.666666666666667,0.857142857142857,0.833333333333333
28,"Stability_Logistic",0.8125,0.875,0.875
29,"Stability_Logistic",0.75,0.75,0.75
30,"Stability_Logistic",0.777777777777778,0.666666666666667,0.666666666666667
31,"Stability_Logistic",0.583333333333333,0.714285714285714,0.75
32,"Stability_Logistic",0.583333333333333,0.571428571428571,0.583333333333333
33,"Stability_Logistic",0.583333333333333,0.571428571428571,0.583333333333333
34,"Stability_Logistic",0.875,0.75,0.75
35,"Stability_Logistic",1,0.857142857142857,0.833333333333333
36,"Stability_Logistic",0.625,0.75,0.75
37,"Stability_Logistic",0.833333333333333,0.714285714285714,0.75
38,"Stability_Logistic",0.8125,0.75,0.75
39,"Stability_Logistic",0.6875,0.75,0.75
40,"Stability_Logistic",1,0.833333333333333,0.833333333333333
41,"Stability_Logistic",0.8125,0.625,0.625
42,"Stability_Logistic",0.625,0.625,0.625
43,"Stability_Logistic",0.875,0.625,0.625
44,"Stability_Logistic",0.6875,0.5,0.5
45,"Stability_Logistic",1,1,1
46,"Stability_Logistic",0.666666666666667,0.666666666666667,0.666666666666667
47,"Stability_Logistic",0.8125,0.75,0.75
48,"Stability_Logistic",0.583333333333333,0.571428571428571,0.583333333333333
49,"Stability_Logistic",0.5,0.428571428571429,0.458333333333333
50,"Stability_Logistic",1,1,1
1,"Protective_Score",0.875,0.875,0.875
2,"Protective_Score",0.666666666666667,0.571428571428571,0
3,"Protective_Score",0.75,0.857142857142857,0.833333333333333
4,"Protective_Score",0.9375,0.75,0.75
5,"Protective_Score",0.75,0.428571428571429,0.458333333333333
6,"Protective_Score",0.916666666666667,0.714285714285714,0.75
7,"Protective_Score",0.75,0.714285714285714,0.708333333333333
8,"Protective_Score",0.75,0.75,0.75
9,"Protective_Score",0.666666666666667,0.714285714285714,0.75
10,"Protective_Score",1,1,1
11,"Protective_Score",0.75,0.75,0.75
12,"Protective_Score",0.833333333333333,0.714285714285714,0.708333333333333
13,"Protective_Score",0.75,0.714285714285714,0.708333333333333
14,"Protective_Score",0.666666666666667,0.714285714285714,0.708333333333333
15,"Protective_Score",1,1,1
16,"Protective_Score",1,0.714285714285714,0.666666666666667
17,"Protective_Score",0.444444444444444,0.5,0.5
18,"Protective_Score",0.6875,0.75,0.75
19,"Protective_Score",0.75,0.875,0.875
20,"Protective_Score",0.5625,0.5,0.5
21,"Protective_Score",0.9375,0.875,0.875
22,"Protective_Score",1,1,1
23,"Protective_Score",0.75,0.625,0.625
24,"Protective_Score",0.916666666666667,0.714285714285714,0.708333333333333
25,"Protective_Score",0.583333333333333,0.571428571428571,0.583333333333333
26,"Protective_Score",0.625,0.5,0.5
27,"Protective_Score",0.5,0.571428571428571,0.625
28,"Protective_Score",0.8125,0.875,0.875
29,"Protective_Score",0.777777777777778,0.833333333333333,0.833333333333333
30,"Protective_Score",0.5,0.714285714285714,0.708333333333333
31,"Protective_Score",1,0.857142857142857,0.833333333333333
32,"Protective_Score",0.625,0.75,0.75
33,"Protective_Score",0.833333333333333,0.857142857142857,0.875
34,"Protective_Score",0.75,0.714285714285714,0.75
35,"Protective_Score",0.5,0.714285714285714,0.75
36,"Protective_Score",0.9375,0.75,0.75
37,"Protective_Score",0.833333333333333,0.714285714285714,0.708333333333333
38,"Protective_Score",0.666666666666667,0.285714285714286,0.291666666666667
39,"Protective_Score",0.833333333333333,0.714285714285714,0.708333333333333
40,"Protective_Score",1,0.875,0.875
41,"Protective_Score",0.8125,0.625,0.625
42,"Protective_Score",0.75,0.428571428571429,0.416666666666667
43,"Protective_Score",0.666666666666667,0.571428571428571,0.625
44,"Protective_Score",0.583333333333333,0.571428571428571,0.583333333333333
45,"Protective_Score",1,1,1
46,"Protective_Score",1,0.875,0.875
47,"Protective_Score",0.875,0.875,0.875
48,"Protective_Score",0.875,0.875,0.875
49,"Protective_Score",0.5625,0.625,0.625
50,"Protective_Score",1,1,1
