max_depth,eta,subsample,colsample_bytree,min_child_weight,gamma,logloss,accuracy,best_iteration
8,0.2,0.5,0.05,1,0,0.6631509421922771,0.3400321516959079,17
8,0.2,0.5,0.1,1,5,0.6778127539467502,0.33674964795237994,45
3,0.01,0.5,0.2,1,1,0.6778254563588256,0.33674681088313124,90
3,0.1,0.9,0.05,1,1,0.6790749385071351,0.33646779799906246,15
4,0.1,0.9,0.1,1,1,0.6800073506082119,0.3362596620180288,18
8,0.2,0.5,0.1,1,1,0.6802663436269691,0.3362018600503874,2
4,0.1,0.9,0.2,1,0,0.680489711388193,0.33615201285326574,19
3,0.2,0.7,0.05,1,0,0.6810432779367525,0.33602849356030867,14
4,0.1,0.9,0.2,1,5,0.6810775009154586,0.3360208579998995,57
3,0.2,0.5,0.1,1,1,0.6822500613129673,0.33575929738515364,32
8,0.2,0.7,0.1,1,1,0.6838845077789191,0.3353948728840077,1
3,0.05,0.9,0.2,1,1,0.6854061892022302,0.33505576725830116,18
3,0.1,0.7,0.01,1,5,0.6856130718066751,0.3350096767523995,23
3,0.01,0.5,0.2,1,5,0.6859671919892877,0.334930791107758,161
6,0.2,0.7,0.01,5,1,0.6865030121149611,0.3348114465779576,48
3,0.01,0.5,0.2,1,0,0.6865470915989786,0.3348016295866974,78
3,0.01,0.9,0.2,1,0,0.6868396963908042,0.33473646687056624,52
8,0.2,0.5,0.1,5,5,0.6869796813824476,0.33470529461890286,27
3,0.05,0.7,0.05,1,5,0.6870705870236842,0.3346850522675776,24
3,0.2,0.5,0.01,5,5,0.6872047521335223,0.334655178255326,28
8,0.1,0.7,0.2,5,1,0.6872506923489756,0.33464494923458304,8
6,0.2,0.9,0.01,1,5,0.6872912700386102,0.3346359143598689,3
8,0.1,0.9,0.1,10,1,0.6875174855773067,0.33458554828693127,105
8,0.05,0.7,0.05,5,0,0.6875295853201961,0.3345828544290497,42
4,0.01,0.5,0.01,1,5,0.6878009562368517,0.33452243988904456,138
8,0.2,0.7,0.1,5,5,0.6878942882515824,0.3345016629002944,12
3,0.01,0.9,0.01,1,5,0.6879221870957687,0.33449545235888456,169
8,0.1,0.9,0.05,1,1,0.6880245020379236,0.3344726765948991,13
8,0.05,0.5,0.05,5,1,0.688185098152312,0.33443692873694664,47
8,0.1,0.9,0.2,5,0,0.6882548493052286,0.33442140308597706,27
6,0.1,0.5,0.05,1,0,0.6883469200753546,0.33440090994313154,22
3,0.2,0.5,0.2,5,0,0.688478931634113,0.33437152785652163,9
8,0.05,0.7,0.05,5,1,0.6885450984234418,0.3343568014602714,50
3,0.05,0.7,0.05,5,5,0.6885523793931303,0.3343551809926416,26
6,0.2,0.7,0.05,5,1,0.6885669485573129,0.33435193846115024,9
6,0.1,0.9,0.2,1,0,0.6885744008581016,0.33435027987377064,3
3,0.1,0.7,0.1,1,1,0.6887120964680227,0.33431963501442213,19
6,0.01,0.5,0.1,1,0,0.6890113561012357,0.33425303808053475,38
3,0.2,0.9,0.2,5,0,0.6890274377870353,0.33424945946558665,5
8,0.05,0.7,0.1,5,1,0.6891335741782085,0.3342258416940297,28
3,0.2,0.7,0.05,5,5,0.6891902457239996,0.33421323132086117,2
8,0.05,0.7,0.2,5,1,0.689299256512613,0.3341889752511695,20
4,0.05,0.7,0.05,5,5,0.6894204012759321,0.3341620202706491,55
8,0.1,0.9,0.01,10,5,0.6894474726218682,0.3341559969837386,28
3,0.05,0.9,0.01,10,5,0.689494552507373,0.33414552199030856,101
4,0.2,0.9,0.01,10,5,0.6896706248430635,0.3341063483968247,15
6,0.1,0.9,0.1,10,1,0.689693395193521,0.33410128248441356,21
8,0.05,0.5,0.01,5,0,0.689816582297522,0.3340738766713676,30
4,0.01,0.9,0.1,10,1,0.6898425236924902,0.3340681055524221,266
8,0.05,0.9,0.2,1,0,0.689874393814398,0.33406101555205003,14
6,0.1,0.9,0.01,1,5,0.6899530253283045,0.3340435230792633,15
3,0.1,0.9,0.1,5,1,0.6899748407143019,0.33403867007992694,12
8,0.05,0.5,0.1,1,5,0.6900024112168844,0.33403253686119244,7
3,0.2,0.9,0.2,5,5,0.6900983660080043,0.33401119159715936,3
8,0.2,0.9,0.05,10,1,0.6901046707688644,0.3340097891189771,5
3,0.05,0.9,0.1,1,1,0.6901126556410245,0.3340080129084786,3
6,0.01,0.5,0.01,5,5,0.6902458694848147,0.3339783805891186,80
6,0.01,0.7,0.05,1,1,0.6902525859735745,0.33397688659637054,39
6,0.05,0.5,0.05,5,5,0.6903523426465314,0.33395469745607537,15
6,0.01,0.5,0.2,5,5,0.6905604320515114,0.33390841394602555,88
3,0.2,0.7,0.01,5,5,0.6909594571521616,0.33381967122544387,2
4,0.2,0.9,0.1,1,1,0.6909985897516964,0.3338109688141746,3
3,0.1,0.7,0.05,1,1,0.691179631033329,0.3337707098470295,2
8,0.1,0.5,0.05,5,0,0.6912080852844326,0.3337643825670818,5
8,0.05,0.9,0.1,1,1,0.6912493555232733,0.33375520554368926,4
4,0.01,0.5,0.01,5,1,0.6914501841278131,0.333710550250353,41
3,0.05,0.9,0.01,5,1,0.6915069961272621,0.33369791834552803,18
6,0.01,0.7,0.1,1,0,0.6915781733621594,0.3336820927289608,24
4,0.2,0.9,0.01,10,0,0.6915967838588731,0.33367795491456725,3
4,0.05,0.9,0.1,10,0,0.691605316096054,0.33367605788543475,32
6,0.2,0.9,0.01,5,1,0.6917206603297251,0.3336504131619658,3
6,0.05,0.5,0.2,5,0,0.6917938757768441,0.33363413552984494,12
3,0.2,0.9,0.1,1,0,0.6918363937137791,0.333624682906964,3
6,0.01,0.5,0.01,1,5,0.6918656838490678,0.3336181711776743,37
6,0.1,0.7,0.01,5,1,0.6919295584828651,0.3336039709060722,31
8,0.01,0.7,0.01,5,0,0.6919724120722188,0.33359444409135813,53
6,0.1,0.9,0.2,10,1,0.6920842853459445,0.3335695740973999,11
8,0.05,0.5,0.01,5,1,0.6922953830652939,0.3335226485303999,4
6,0.05,0.7,0.2,5,5,0.692341022634231,0.33351250360259965,8
3,0.05,0.9,0.2,1,5,0.6924766595401461,0.33348235465247095,5
3,0.01,0.9,0.05,10,1,0.6924848087336251,0.3334805433184245,97
3,0.01,0.7,0.1,1,5,0.6925887842629035,0.3334574329455787,52
6,0.1,0.5,0.1,5,5,0.6926229796110294,0.3334498326085965,3
4,0.1,0.7,0.1,5,0,0.6926459057678565,0.3334447370365539,3
8,0.1,0.9,0.1,5,0,0.6926459770698052,0.3334447211890297,2
6,0.05,0.9,0.05,10,5,0.6926625229063488,0.3334410437324691,33
8,0.05,0.7,0.05,5,5,0.6927047204145622,0.3334316650597926,1
6,0.01,0.9,0.01,1,0,0.6927260438687185,0.3334269258325397,1
6,0.1,0.5,0.01,5,0,0.6927672109820626,0.3334177763639217,1
8,0.01,0.5,0.1,1,1,0.6927935320233541,0.3334119265285959,2
4,0.05,0.7,0.05,5,1,0.6928051789687654,0.3334093380184753,4
3,0.1,0.5,0.2,5,5,0.6928056470759503,0.3334092339828078,2
6,0.01,0.9,0.1,1,0,0.692807818818058,0.3334087513186921,16
8,0.01,0.9,0.2,5,5,0.692865882343028,0.33339584697862107,17
8,0.05,0.9,0.05,1,1,0.6928804289296936,0.33339261410857834,5
4,0.2,0.9,0.1,1,5,0.6929005933186364,0.33338813274993045,1
3,0.2,0.9,0.2,5,1,0.6929129010327107,0.3333853974831858,1
3,0.1,0.9,0.1,1,0,0.6929484369262816,0.3333775000480888,1
4,0.01,0.9,0.1,10,5,0.6929525607420081,0.33337658358452,18
4,0.01,0.5,0.1,5,5,0.6929795404017229,0.3333705877426291,3
8,0.01,0.7,0.05,1,1,0.692985746939633,0.33336920843634393,17
3,0.01,0.9,0.01,5,5,0.6930471195114983,0.33335556949268746,6
4,0.01,0.5,0.1,5,0,0.6931169301400453,0.3333400556827585,1
4,0.1,0.9,0.1,10,5,0.6931226385964288,0.3333387871253112,1
4,0.01,0.7,0.2,10,5,0.6931471824645996,0.33333333291007683,1
8,0.2,0.9,0.01,10,5,0.6931471824645996,0.33333333291007683,1
3,0.01,0.7,0.05,10,0,0.6931471824645996,0.33333333291007683,1
6,0.1,0.7,0.2,10,0,0.6931471824645996,0.33333333291007683,1
4,0.05,0.5,0.1,10,5,0.6931471824645996,0.33333333291007683,1
4,0.05,0.7,0.01,10,0,0.6931471824645996,0.33333333291007683,1
6,0.01,0.7,0.2,10,5,0.6931471824645996,0.33333333291007683,1
4,0.2,0.5,0.1,10,5,0.6931471824645996,0.33333333291007683,1
4,0.1,0.5,0.1,10,0,0.6931471824645996,0.33333333291007683,1
6,0.1,0.7,0.2,10,5,0.6931471824645996,0.33333333291007683,1
8,0.1,0.5,0.1,10,0,0.6931471824645996,0.33333333291007683,1
3,0.01,0.5,0.2,10,0,0.6931471824645996,0.33333333291007683,1
4,0.05,0.5,0.01,10,0,0.6931471824645996,0.33333333291007683,1
3,0.01,0.7,0.2,10,1,0.6931471824645996,0.33333333291007683,1
4,0.01,0.9,0.05,10,0,0.6931471824645996,0.33333333291007683,1
8,0.2,0.7,0.05,10,5,0.6931471824645996,0.33333333291007683,1
3,0.2,0.5,0.2,10,5,0.6931471824645996,0.33333333291007683,1
6,0.05,0.5,0.01,10,1,0.6931471824645996,0.33333333291007683,1
6,0.01,0.5,0.1,10,1,0.6931471824645996,0.33333333291007683,1
6,0.05,0.7,0.01,10,5,0.6931471824645996,0.33333333291007683,1
8,0.2,0.5,0.1,10,0,0.6931471824645996,0.33333333291007683,1
4,0.1,0.5,0.05,10,5,0.6931471824645996,0.33333333291007683,1
8,0.2,0.7,0.01,10,5,0.6931471824645996,0.33333333291007683,1
3,0.1,0.7,0.01,10,1,0.6931471824645996,0.33333333291007683,1
8,0.2,0.7,0.2,10,0,0.6931471824645996,0.33333333291007683,1
3,0.05,0.7,0.1,10,1,0.6931471824645996,0.33333333291007683,1
4,0.1,0.7,0.01,10,5,0.6931471824645996,0.33333333291007683,1
8,0.1,0.5,0.2,10,1,0.6931471824645996,0.33333333291007683,1
8,0.01,0.5,0.01,10,0,0.6931471824645996,0.33333333291007683,1
3,0.1,0.5,0.2,10,0,0.6931471824645996,0.33333333291007683,1
8,0.1,0.5,0.2,10,5,0.6931471824645996,0.33333333291007683,1
4,0.1,0.7,0.05,10,1,0.6931471824645996,0.33333333291007683,1
6,0.01,0.7,0.1,10,0,0.6931471824645996,0.33333333291007683,1
3,0.2,0.7,0.1,10,0,0.6931471824645996,0.33333333291007683,1
3,0.1,0.5,0.01,10,5,0.6931471824645996,0.33333333291007683,1
6,0.05,0.5,0.05,10,0,0.6931471824645996,0.33333333291007683,1
3,0.2,0.7,0.01,10,1,0.6931471824645996,0.33333333291007683,1
3,0.01,0.5,0.01,10,1,0.6931471824645996,0.33333333291007683,1
8,0.1,0.7,0.1,10,0,0.6931471824645996,0.33333333291007683,1
3,0.1,0.9,0.05,10,5,0.6931471824645996,0.33333333291007683,1
6,0.05,0.5,0.2,10,0,0.6931471824645996,0.33333333291007683,1
8,0.1,0.7,0.05,10,1,0.6931471824645996,0.33333333291007683,1
6,0.1,0.5,0.1,10,5,0.6931471824645996,0.33333333291007683,1
3,0.05,0.5,0.1,10,5,0.6931471824645996,0.33333333291007683,1
4,0.2,0.5,0.05,10,0,0.6931471824645996,0.33333333291007683,1
3,0.01,0.7,0.05,10,1,0.6931471824645996,0.33333333291007683,1
3,0.05,0.5,0.1,10,0,0.6931471824645996,0.33333333291007683,1
6,0.2,0.5,0.2,10,1,0.6931471824645996,0.33333333291007683,1
8,0.1,0.5,0.1,10,1,0.6931471824645996,0.33333333291007683,1
8,0.2,0.7,0.2,10,5,0.6931471824645996,0.33333333291007683,1
6,0.1,0.9,0.01,10,1,0.6931471824645996,0.33333333291007683,1
3,0.2,0.5,0.2,10,0,0.6931471824645996,0.33333333291007683,1
