"Run","Model","Accuracy","Balanced_Accuracy","RF_mtry","RF_nodesize"
1,"GBM",0.619047619047619,0.596153846153846,338,1
2,"GBM",0.285714285714286,0.5,225,3
3,"GBM",0.571428571428571,0.572727272727273,1,1
4,"GBM",0.571428571428571,0.5,10,5
5,"GBM",0.380952380952381,0.361111111111111,225,3
6,"GBM",0.714285714285714,0.709090909090909,26,1
7,"GBM",0.571428571428571,0.607142857142857,26,3
8,"GBM",0.523809523809524,0.5,1,3
9,"GBM",0.571428571428571,0.5,338,3
10,"GBM",0.428571428571429,0.5,26,5
1,"ElasticNet",0.619047619047619,0.5,338,1
2,"ElasticNet",0.285714285714286,0.5,225,3
3,"ElasticNet",0.523809523809524,0.5,1,1
4,"ElasticNet",0.523809523809524,0.472222222222222,10,5
5,"ElasticNet",0.428571428571429,0.486111111111111,225,3
6,"ElasticNet",0.523809523809524,0.5,26,1
7,"ElasticNet",0.666666666666667,0.5,26,3
8,"ElasticNet",0.523809523809524,0.5,1,3
9,"ElasticNet",0.571428571428571,0.5,338,3
10,"ElasticNet",0.428571428571429,0.5,26,5
1,"RandomForest",0.619047619047619,0.644230769230769,338,1
2,"RandomForest",0.285714285714286,0.5,225,3
3,"RandomForest",0.523809523809524,0.522727272727273,1,1
4,"RandomForest",0.571428571428571,0.541666666666667,10,5
5,"RandomForest",0.428571428571429,0.472222222222222,225,3
6,"RandomForest",0.523809523809524,0.518181818181818,26,1
7,"RandomForest",0.666666666666667,0.642857142857143,26,3
8,"RandomForest",0.523809523809524,0.5,1,3
9,"RandomForest",0.476190476190476,0.416666666666667,338,3
10,"RandomForest",0.428571428571429,0.5,26,5
1,"Ensemble",0.666666666666667,0.682692307692308,338,1
2,"Ensemble",0.285714285714286,0.5,225,3
3,"Ensemble",0.571428571428571,0.568181818181818,1,1
4,"Ensemble",0.571428571428571,0.541666666666667,10,5
5,"Ensemble",0.476190476190476,0.5,225,3
6,"Ensemble",0.571428571428571,0.563636363636364,26,1
7,"Ensemble",0.666666666666667,0.607142857142857,26,3
8,"Ensemble",0.523809523809524,0.5,1,3
9,"Ensemble",0.571428571428571,0.5,338,3
10,"Ensemble",0.428571428571429,0.5,26,5
