,,,,,,
Metabolic models,Model,Mean_Accuracy,SD_Accuracy,Mean_Balanced_Accuracy,SD_Balanced_Accuracy,N_Features
,GBM,0.524,0.125,0.535,0.093,676
,ElasticNet,0.51,0.108,0.496,0.009,676
,RandomForest,0.505,0.108,0.526,0.071,676
,Ensemble,0.533,0.114,0.546,0.061,676
,PCA_RF,0.552,0.11,0.571,0.095,10
,FS_metab_RF,0.504,0.173,0.498,0.168,33
Microbial models,Order RF,0.582,0.122,0.553,0.116,304
,Genus RF,0.567,0.102,0.53,0.12,1457
,FS Genus RF,0.554,0.022,0.5,0,926
,Family RF,0.506,0.121,0.475,0.138,543
,Class RF,0.473,0.092,0.444,0.102,83
,Phylum RF,0.428,0.087,0.401,0.098,38
