Rank,Metabolite,Loading onto PC10
1,Hydroxyjasmonate Sulfate,-0.1807
2,Oleoyl Glycerol,-0.1778
3,St092794,0.1743
4,Maslinic Acid,0.1667
5,Pentanone,0.1423
6,Palmitoyl Rac Glycerol,-0.1419
7,Herniarin,-0.1381
8,Matairesinol,0.1313
9,Stachyose,-0.1199
10,Dehydroepiandrosterone,0.1181
11,Methyl Pentadecanoate,-0.1179
12,Dehydrodiisoeugenol,-0.1169
13,d Glutamine,0.1165
14,Griseofulvin,0.1142
15,Maltitol,0.1138
16,Hydroquinone,0.1122
17,Allantoic Acid,-0.1086
18,Acamprosate 3 Acetamido 1 Propanesulfonic Acid,0.1068
19,Gamma Valerobetaine,-0.1036
20,Choline,0.1013
