"Run","Accuracy","Balanced_Accuracy","Sensitivity","Specificity","Kappa","Precision","N_Components","Explained_Variance","Best_mtry","Best_nodesize"
1,0.381,0.428,0.231,0.625,-0.123,0.5,10,0.726,5,2
2,0.619,0.583,0.5,0.667,0.152,0.375,2,0.851,1,10
3,0.476,0.482,0.6,0.364,-0.036,0.462,10,0.729,5,10
4,0.667,0.667,0.667,0.667,0.329,0.727,2,0.998,1,1
5,0.619,0.625,0.583,0.667,0.243,0.7,9,0.803,1,2
6,0.619,0.614,0.5,0.727,0.229,0.625,10,0.731,10,5
7,0.429,0.5,0.286,0.714,0,0.667,9,0.813,6,2
8,0.571,0.568,0.636,0.5,0.137,0.583,10,0.736,5,2
9,0.476,0.472,0.5,0.444,-0.055,0.545,10,0.718,3,3
10,0.524,0.542,0.667,0.417,0.079,0.462,3,0.823,2,2
