"Run","Model","Accuracy","Balanced_Accuracy","AUC","Var_Explained","RF_mtry","RF_nodesize"
1,"PCA_RF",0.523809523809524,0.567307692307692,0.625,59.624,1,1
2,"PCA_RF",0.476190476190476,0.483333333333333,0.472222222222222,61.681,1,3
3,"PCA_RF",0.619047619047619,0.618181818181818,0.577272727272727,60.002,5,5
4,"PCA_RF",0.428571428571429,0.430555555555556,0.569444444444444,61.34,5,1
5,"PCA_RF",0.476190476190476,0.458333333333333,0.49537037037037,60.164,3,5
6,"PCA_RF",0.619047619047619,0.609090909090909,0.640909090909091,60.63,1,3
7,"PCA_RF",0.285714285714286,0.357142857142857,0.647959183673469,60.096,3,1
8,"PCA_RF",0.619047619047619,0.627272727272727,0.627272727272727,60.453,3,5
9,"PCA_RF",0.476190476190476,0.486111111111111,0.486111111111111,59.457,1,1
10,"PCA_RF",0.380952380952381,0.402777777777778,0.574074074074074,59.993,1,5
