"Run","Accuracy","Balanced_Accuracy","Sensitivity","Specificity","Kappa","Most_Important_PC","RF_mtry","RF_nodesize"
1,0.381,0.452,0.154,0.75,-0.079,"PC6",10,5
2,0.476,0.583,0.833,0.333,0.115,"PC1",1,1
3,0.429,0.432,0.5,0.364,-0.135,"PC1",1,5
4,0.667,0.708,0.417,1,0.38,"PC2",1,1
5,0.524,0.542,0.417,0.667,0.079,"PC5",1,1
6,0.619,0.614,0.5,0.727,0.229,"PC9",10,1
7,0.476,0.571,0.286,0.857,0.108,"PC5",3,5
8,0.619,0.632,0.364,0.9,0.257,"PC1",1,5
9,0.571,0.583,0.5,0.667,0.16,"PC9",5,3
10,0.571,0.597,0.778,0.417,0.182,"PC1",3,1
