Model name,Description,N_Features,Accuracy,Kappa,,,,,,AUC,Balanced_Accuracy,,Sensitivity,Specificity,Precision,F1_Score
PCA_RF,RF on top 10 principal components,10,0.714,0.422,,,,,,0.582,0.709,,0.6,0.818,0.75,0.667
Antifungal_RF,RF on antifungal metabolites,33,0.381,-0.247,,,,,,0.755,0.377,,0.455,0.3,0.417,0.435
Basic_RF,Basic RF on all metabolites,676,0.619,0.222,,,,,,,,,,,,
GBM,GBM on all metabolites,676,0.524,0.054,,,,,,,,,,,,
ElasticNet,ElasticNet on all metabolites,676,0.667,0.329,,,,,,,,,,,,
Ensemble,"Ensemble model of GBM, ElasticNet, and Basic_RF",676,0.667,0.329,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,"GBM - Accuracy: 0.524, Kappa: 0.054",,,,,,,,,,,
,,,,,"ElasticNet - Accuracy: 0.667, Kappa: 0.329",,,,,,,,,,,
,,,,,"RandomForest - Accuracy: 0.619, Kappa: 0.222",,,,,,,,,,,
,,,,,"Ensemble - Accuracy: 0.667, Kappa: 0.329",,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tuned_RF,,676,0.341,0.333,0.182,0.5,0.286,0.222,-0.312,0.791,,,,,,
Basic_RF,Basic RF on all metabolites,676,0.341,0.333,0.182,0.5,0.286,0.222,-0.312,0.759,,,,,,
