"feature","t_statistic","p_value","mean_GT_present","mean_GT_absent","mean_diff","abs_mean_diff"
"ESV_7780412",1,0.325874706871661,3.73594351253409e-05,0,3.73594351253409e-05,3.73594351253409e-05
"ESV_688040",1,0.325874706871661,3.23275862068966e-05,0,3.23275862068966e-05,3.23275862068966e-05
"ESV_664118",1,0.325874706871661,2.9582006251664e-05,0,2.9582006251664e-05,2.9582006251664e-05
"ESV_5840758",1,0.325874706871661,2.38305173605319e-05,0,2.38305173605319e-05,2.38305173605319e-05
"ESV_5124654",1,0.325874706871661,2.38305173605319e-05,0,2.38305173605319e-05,2.38305173605319e-05
"ESV_7794",0.412020941742564,0.682353331360094,4.88885991786715e-05,2.60620276257493e-05,2.28265715529223e-05,2.28265715529223e-05
"ESV_7526334",1,0.325874706871661,1.85291556263781e-05,0,1.85291556263781e-05,1.85291556263781e-05
"ESV_7526652",1,0.325874706871661,1.85291556263781e-05,0,1.85291556263781e-05,1.85291556263781e-05
"ESV_7525964",1,0.325874706871661,1.85291556263781e-05,0,1.85291556263781e-05,1.85291556263781e-05
"ESV_7902452",1,0.325874706871661,1.62961997262238e-05,0,1.62961997262238e-05,1.62961997262238e-05
"ESV_5398070",1,0.325874706871661,9.86066875055466e-06,0,9.86066875055466e-06,9.86066875055466e-06
"ESV_4681966",1,0.325874706871661,9.86066875055466e-06,0,9.86066875055466e-06,9.86066875055466e-06
"ESV_5044154",1,0.325874706871661,9.17826952906299e-06,0,9.17826952906299e-06,9.17826952906299e-06
"ESV_5043754",1,0.325874706871661,9.17826952906299e-06,0,9.17826952906299e-06,9.17826952906299e-06
"ESV_8953278",1,0.325874706871661,8.12123377783553e-06,0,8.12123377783553e-06,8.12123377783553e-06
"ESV_8397650",1,0.325874706871661,8.12123377783553e-06,0,8.12123377783553e-06,8.12123377783553e-06
"ESV_7144138",1,0.325874706871661,4.93880816681318e-06,0,4.93880816681318e-06,4.93880816681318e-06
"ESV_6494738",1,0.325874706871661,4.93880816681318e-06,0,4.93880816681318e-06,4.93880816681318e-06
"ESV_6495530",1,0.325874706871661,4.93880816681318e-06,0,4.93880816681318e-06,4.93880816681318e-06
"ESV_7144930",1,0.325874706871661,4.93880816681318e-06,0,4.93880816681318e-06,4.93880816681318e-06
