"Iteration","Model","AUC","Accuracy","Balanced_Accuracy"
1,"Microbiome_Stability_GLM",0.777777777777778,0.5,0.5
2,"Microbiome_Stability_GLM",0.666666666666667,0.714285714285714,0.708333333333333
3,"Microbiome_Stability_GLM",0.583333333333333,0.285714285714286,0.291666666666667
4,"Microbiome_Stability_GLM",1,0.666666666666667,0.666666666666667
5,"Microbiome_Stability_GLM",1,0.833333333333333,0.833333333333333
6,"Microbiome_Stability_GLM",0.75,0.571428571428571,0.541666666666667
7,"Microbiome_Stability_GLM",1,1,1
8,"Microbiome_Stability_GLM",1,1,1
9,"Microbiome_Stability_GLM",0.833333333333333,0.714285714285714,0.75
10,"Microbiome_Stability_GLM",1,0.833333333333333,0.875
11,"Microbiome_Stability_GLM",0.666666666666667,0.571428571428571,0.583333333333333
12,"Microbiome_Stability_GLM",0.888888888888889,0.333333333333333,0.333333333333333
13,"Microbiome_Stability_GLM",1,1,1
14,"Microbiome_Stability_GLM",1,0.833333333333333,0.75
15,"Microbiome_Stability_GLM",0.888888888888889,0.833333333333333,0.833333333333333
16,"Microbiome_Stability_GLM",0.833333333333333,0.857142857142857,0.875
17,"Microbiome_Stability_GLM",0.75,0.857142857142857,0.833333333333333
18,"Microbiome_Stability_GLM",1,1,1
19,"Microbiome_Stability_GLM",0.666666666666667,0.714285714285714,0.708333333333333
20,"Microbiome_Stability_GLM",0.777777777777778,0.5,0.5
21,"Microbiome_Stability_GLM",1,0.833333333333333,0.833333333333333
22,"Microbiome_Stability_GLM",1,0.666666666666667,0.666666666666667
23,"Microbiome_Stability_GLM",1,0.714285714285714,0.666666666666667
24,"Microbiome_Stability_GLM",0.75,0.714285714285714,0.708333333333333
25,"Microbiome_Stability_GLM",0.833333333333333,0.857142857142857,0.875
26,"Microbiome_Stability_GLM",1,0.833333333333333,0.875
27,"Microbiome_Stability_GLM",1,1,1
28,"Microbiome_Stability_GLM",0.666666666666667,0.714285714285714,0.708333333333333
29,"Microbiome_Stability_GLM",0.555555555555556,0.5,0.5
30,"Microbiome_Stability_GLM",0.666666666666667,0.571428571428571,0.583333333333333
31,"Microbiome_Stability_GLM",1,0.857142857142857,0.833333333333333
32,"Microbiome_Stability_GLM",0.75,0.714285714285714,0.708333333333333
33,"Microbiome_Stability_GLM",0.777777777777778,0.666666666666667,0.666666666666667
34,"Microbiome_Stability_GLM",0.75,0.833333333333333,0.75
35,"Microbiome_Stability_GLM",0.916666666666667,0.714285714285714,0.708333333333333
36,"Microbiome_Stability_GLM",0.666666666666667,0.571428571428571,0
37,"Microbiome_Stability_GLM",1,0.833333333333333,0.833333333333333
38,"Microbiome_Stability_GLM",0.777777777777778,0.666666666666667,0.666666666666667
39,"Microbiome_Stability_GLM",0.583333333333333,0.428571428571429,0.458333333333333
40,"Microbiome_Stability_GLM",1,1,1
41,"Microbiome_Stability_GLM",0.833333333333333,0.857142857142857,0.833333333333333
42,"Microbiome_Stability_GLM",0.555555555555556,0.5,0.5
43,"Microbiome_Stability_GLM",0.916666666666667,0.714285714285714,0.75
44,"Microbiome_Stability_GLM",1,1,1
45,"Microbiome_Stability_GLM",0.375,0.5,0.625
46,"Microbiome_Stability_GLM",1,1,1
47,"Microbiome_Stability_GLM",0.833333333333333,0.857142857142857,0.875
48,"Microbiome_Stability_GLM",0.916666666666667,0.857142857142857,0.875
49,"Microbiome_Stability_GLM",1,0.571428571428571,0
50,"Microbiome_Stability_GLM",0.666666666666667,0.5,0.5
