"Improved_Taxonomic_Name","Original_Feature_Name","Times_Selected","Selection_Rate"
"Acidiferrimicrobium","Acidiferrimicrobium",20,1
"Unclassified Paracoccaceae","Incertae Sedis.317",20,1
"Mariniblastus","Mariniblastus",16,0.8
"Unclassified Pirellulaceae","Incertae Sedis.51",7,0.35
"AKYG587","AKYG587",4,0.2
"Novosphingobium","Novosphingobium",3,0.15
"Unclassified Aggregatilineales","Incertae Sedis.214",3,0.15
"Unclassified 01D2Z36","Incertae Sedis.340",2,0.1
"Unclassified Rokubacteriales","Incertae Sedis.16",2,0.1
"Barnesiella","Barnesiella",1,0.05
"Caryophanon","Caryophanon",1,0.05
"Nakamurella","Nakamurella",1,0.05
"Marmoricola","Marmoricola",1,0.05
"Hyalangium","Hyalangium",1,0.05
"Unclassified Sandaracinaceae","Incertae Sedis.59",1,0.05
"Unclassified Geobacteraceae","Incertae Sedis.29",1,0.05
"Symbiobacterium","Symbiobacterium",1,0.05
"Unclassified WX65","Incertae Sedis.93",1,0.05
"Unclassified Planctomycetales","Incertae Sedis.27",1,0.05
