pathway	1_demultiplex.bc1005--bc1101.hifi_reads	1_demultiplex.bc1007--bc1056.hifi_reads	1_demultiplex.bc1007--bc1096.hifi_reads	1_demultiplex.bc1008--bc1082.hifi_reads	1_demultiplex.bc1012--bc1065.hifi_reads	1_demultiplex.bc1015--bc1044.hifi_reads	1_demultiplex.bc1015--bc1082.hifi_reads	1_demultiplex.bc1020--bc1107.hifi_reads	1_demultiplex.bc1022--bc1059.hifi_reads	1_demultiplex.bc1024--bc1100.hifi_reads	2_demultiplex.bc1005--bc1083.hifi_reads	2_demultiplex.bc1007--bc1045.hifi_reads	2_demultiplex.bc1007--bc1075.hifi_reads	2_demultiplex.bc1008--bc1101.hifi_reads	2_demultiplex.bc1012--bc1101.hifi_reads	2_demultiplex.bc1015--bc1033.hifi_reads	2_demultiplex.bc1015--bc1060.hifi_reads	2_demultiplex.bc1020--bc1096.hifi_reads	2_demultiplex.bc1022--bc1056.hifi_reads	2_demultiplex.bc1024--bc1056.hifi_reads	3_demultiplex.bc1005--bc1035.hifi_reads	3_demultiplex.bc1005--bc1096.hifi_reads	3_demultiplex.bc1007--bc1035.hifi_reads	3_demultiplex.bc1007--bc1044.hifi_reads	3_demultiplex.bc1007--bc1056.hifi_reads	3_demultiplex.bc1007--bc1096.hifi_reads	3_demultiplex.bc1008--bc1035.hifi_reads	3_demultiplex.bc1008--bc1082.hifi_reads	3_demultiplex.bc1012--bc1035.hifi_reads	3_demultiplex.bc1012--bc1044.hifi_reads	3_demultiplex.bc1012--bc1065.hifi_reads	3_demultiplex.bc1012--bc1107.hifi_reads	3_demultiplex.bc1015--bc1035.hifi_reads	3_demultiplex.bc1015--bc1044.hifi_reads	3_demultiplex.bc1022--bc1035.hifi_reads	3_demultiplex.bc1022--bc1059.hifi_reads	3_demultiplex.bc1022--bc1100.hifi_reads	3_demultiplex.bc1024--bc1035.hifi_reads	3_demultiplex.bc1024--bc1089.hifi_reads	4_demultiplex.bc1005--bc1060.hifi_reads	4_demultiplex.bc1007--bc1096.hifi_reads	4_demultiplex.bc1008--bc1096.hifi_reads	4_demultiplex.bc1012--bc1096.hifi_reads	4_demultiplex.bc1015--bc1044.hifi_reads	4_demultiplex.bc1015--bc1082.hifi_reads	4_demultiplex.bc1015--bc1096.hifi_reads	4_demultiplex.bc1020--bc1065.hifi_reads	4_demultiplex.bc1020--bc1096.hifi_reads	4_demultiplex.bc1024--bc1044.hifi_reads
1CMET2-PWY	19.398826979472144	25.069767441860467	52.64512571680634	7.000000000000002	71.84715254740718	5.8604651162790695	4.15009460120698	27.015478692910378	0.0	32.0	8.884615384615383	8.999999999999998	0.0	7.777777777777779	130.68844867682196	0.0	8.0	3.0000000000000004	38.07827305514433	67.66847409413958	28.977930658674477	12.310344827586208	26.624889885480897	28.000000000000007	71.88843813387423	273.74727668845316	0.0	0.0	12.999999999999998	20.0	74.00539027676997	49.99999999999999	0.0	7.000000000000001	29.849738308289716	152.0	17.81437125748503	30.499999999999996	5.983240223463687	173.51272413875657	203.329330320827	31.2212389380531	169.44250570352753	37.0	38.841145635493426	59.00000000000001	21.999999999999996	172.0	15.019417475728153
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.689851767388824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANAEROFRUCAT-PWY	16.816986855409503	17.292000447110553	47.08675612473611	0.0	74.29606470560532	0.0	0.0	0.0	0.0	0.0	9.406130155206197	0.0	0.0	9.701492537313431	108.88195550510798	0.0	0.0	0.0	0.0	80.7074362043306	24.415829855862388	15.020968519884192	29.35150908959672	0.0	48.476276846649235	101.89486235700716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44022770398482	29.469485758763316	72.03533538603367	0.0	17.674181644121308	6.32281649845029	128.14977221824128	223.15190231091415	19.728997289972902	137.7959339482238	28.249054349990047	0.0	34.28885178305759	0.0	0.0	0.0
ANAGLYCOLYSIS-PWY	24.307892172783372	30.058939096267192	57.16610369558459	7.875000000000002	93.25761861279422	7.869955156950671	29.213778277659046	34.08442914003068	0.0	33.88235294117647	11.878253198059108	9.665084745762712	0.0	12.735849056603776	137.41542626976033	1.2	8.0	3.176470588235294	58.318681318681314	71.67207293666026	36.191774455241486	18.59957626658264	27.066256455334578	30.215208034433292	81.11397043955785	247.5828769209121	0.0	0.0	11.64353324104905	21.501706484641637	79.9016076782229	52.94117647058824	14.000000000000004	7.641509433962265	29.846985079299937	165.11477620303341	15.131100704951567	34.93730867548205	5.8168761220825855	185.6844461681964	213.36774140381365	33.26732673267327	194.67030250489205	38.5992141453831	32.956511262849425	64.79056858915877	23.7141658978445	179.72468273627123	16.662943311924046
ARG+POLYAMINE-SYN	0.0	0.0	27.279870666132542	0.0	46.69652172383599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.69395990272497	0.0	0.0	0.0	40.165248661534974	0.0	0.0	8.087662150670681	0.0	0.0	0.0	96.49748691007869	0.0	0.0	0.0	0.0	60.10821028431375	0.0	0.0	0.0	0.0	61.47680012088684	0.0	19.00349475786321	0.0	78.3862616402555	62.78396647827582	0.0	89.1530750840831	0.0	0.0	0.0	7.810132463518013	68.93960743667488	0.0
ARGDEG-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.357249423572492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGORNPROST-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.714285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.3808246671936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.84757922003344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYN-PWY	21.65155131264917	28.595744680851062	53.441909441909445	7.304347826086957	70.89443133280538	9.402061855670103	27.980885842430542	18.391674550614947	0.0	32.680851063829785	11.23404255319149	11.451292246520875	0.0	10.256410256410255	130.3017677313828	1.0434782608695652	0.0	3.063829787234043	60.791931715667	63.65217391304348	35.13665606401808	17.589324872859606	23.837137569401605	28.595744680851062	80.75995634587609	322.211645968391	0.0	0.0	13.477321814254859	20.42553191489362	84.07648903563829	51.06382978723404	14.715328467153286	7.714285714285714	24.601113172541744	155.93663565501637	17.601380500431404	31.148936170212757	5.204819277108434	159.86203288678215	187.83795781560187	31.16521739130435	175.3876648687583	31.732117198725557	38.35998484274346	60.62922742786225	22.548042704626337	177.19554848966615	17.601380500431404
ARGSYNBSUB-PWY	23.190184049079758	29.473684210526315	56.491540516473734	8.23529411764706	68.39981420637828	10.654205607476637	29.088979781320546	16.305988928032207	0.0	33.68421052631579	11.578947368421053	11.111111111111112	0.0	10.638297872340425	129.10102037430488	1.1764705882352942	0.0	3.1578947368421058	68.37162837162838	71.76470588235293	37.148086953704606	18.87753875736089	26.094003241491087	29.473684210526315	97.78401122019635	330.6082402940944	0.0	0.0	14.772727272727272	21.05263157894737	85.18262057879919	52.63157894736841	17.142857142857146	8.181818181818183	26.791938172450372	163.6478784040532	19.18735891647855	32.10526315789473	5.806451612903225	159.06990930539231	207.8937847481505	31.660777385159008	176.7425765992429	41.46551724137931	42.05383848454636	64.05979543666405	23.571428571428573	189.16496945010184	19.18735891647855
ARO-PWY	25.689320388349515	30.704017692591236	61.14282214950734	7.000000000000002	76.5900837643335	9.413793103448276	27.51239199157007	21.72413793103448	0.0	37.333333333333336	11.584070796460175	12.144578313253014	0.0	12.352941176470589	136.48598670715413	1.4	8.0	3.5000000000000004	63.95302096944807	69.36419213973798	38.2867713778164	18.8071495766698	30.246243038620957	32.35327313769752	88.37383944320622	319.52785108499114	0.0	0.0	14.36643124221022	23.557692307692307	88.9823765745489	53.84615384615385	14.000000000000004	8.75	30.278361725262773	181.94612883980918	18.78795239251882	38.22666396890876	6.368584758942458	180.80551046763688	239.72869996961344	33.361702127659576	194.95380021342731	39.08184143222506	40.44205288757198	68.1343913557319	25.99330207635633	194.85415807132128	18.121827411167512
