pathway	description	100CHE6KO	101CHE6WT	102CHE6WT	103CHE6KO	104CHE6KO	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	26CMK6WT	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	36CMK6WT	81CHE6WT	82CHE6WT	84CHE6KO	86CHE6WT	87CHE6KO	88CHE6KO	99CHE6KO	9CMK6KO
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	1289.7450894367018	1485.2474126623338	1233.5907728103095	1542.2833772688157	1495.8337368647876	1550.240501619462	1328.044602121458	2559.5140987858226	1826.0265104733319	3077.7067319034577	1804.1187357874774	2900.336191454829	1257.9647066792486	1759.7256547805468	1030.3146406686938	1791.9437255924365	1258.14971995966	1327.3406192344253	1885.3069312443833	1613.5009139422882	1946.6961690511573	1076.8302824062912	1808.2298765456794	1435.1271865614074
ANAEROFRUCAT-PWY	homolactic fermentation	904.7454568107123	1565.5452956184647	1227.623145327921	1377.9154389392331	1278.0179698072686	1514.7913266679275	1116.1682256212014	2659.939039891265	1447.8957671039745	3152.3021164661204	1907.1448173325105	2839.646202242102	1463.0623521401226	1764.7484780841685	948.2389559069948	1738.789113445696	938.0261839585788	596.5036419801236	939.0989376151348	791.4387240844658	1093.9894034280917	1074.7628167987323	1424.2995373054086	1418.6621474502274
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	1501.0804209021112	1805.327088107399	1544.3205598387315	1853.7760576872115	1762.1769373537759	1888.0894074363916	1562.536663414621	3127.428059403779	2258.7941879571663	4017.403657544763	2239.569171589584	3427.5825084042426	1551.3881981991315	2113.8934698131843	1209.8554107499103	2307.7784148703213	1461.9502532854494	1569.5937974724466	2274.2492335305624	1895.0821338366975	2306.7129359116616	1259.8949651886364	2125.9362940191118	1982.95060933712
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	0.0	49.33906351610084	45.65590263413731	32.490105152017776	32.626663732172965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.40523795931831	50.198626470635354	93.36851604451593	7.686750038984811	31.626190390121675	7.51017684966524	11.72516267063275	0.0
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	63.484298516454565	102.02000649112414	34.70003381805884	0.0	24.882807001547217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.477100730133937	46.97701796416195	65.8098063393294	49.95218465126803	26.710716105292953	22.708377525255717	117.32375897699022	0.0
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	776.4560376478792	1081.0182596775483	863.2738542254571	1149.4006207193365	756.4376321505986	982.5706545929488	823.1788108994713	1364.2215558845858	934.3939363485376	2210.5346913669555	1375.792247705514	2237.1634014603674	322.85789455961225	972.3942617414025	661.9381619384535	870.4002852980581	670.0482207404906	310.80712996537136	410.2977223284078	637.1011983389359	825.5044367246451	874.2525297696933	1190.9486843971688	855.3550805618315
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	570.2451384096555	973.0459127049401	778.5459650679401	1011.7630465331874	596.3205319882753	839.4050960525267	514.1279655566465	920.368679879585	582.6188136082587	1642.5588505363903	1105.8693563316504	2253.563489567632	138.85033072449397	728.3004913994467	448.43881064536635	567.0938450567436	386.45923677461286	222.94714243875958	274.11219021204124	476.66598660361456	627.2027859550121	518.7387551906975	894.4711055342609	678.1244184211868
ARO-PWY	chorismate biosynthesis I	705.1088077964317	1433.2828387845086	1175.463181527108	1373.6768592393073	1200.9786043186652	1183.8674486722016	523.8198618699153	1327.1807759349526	892.1320666016678	2009.131092133774	1261.604823690963	2543.984178871798	50.01350335149289	1065.3381943277977	495.4615239490496	908.8754835261419	478.27471355620963	448.2043930492608	667.7593877729557	756.4755235719989	1098.1642748710112	109.23197091727276	1270.5346574079442	1053.6671035223476
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	1459.138702596881	1709.485056008361	1466.2926103334728	1494.4875059228168	1772.9797151808366	1800.369236616976	1500.7068452968253	2974.321983019244	2248.5840424518083	3841.639382421164	1965.4057737847995	1992.2477267961483	1481.454150645982	1994.1756402015249	1051.629045747221	2338.8402458519786	1494.6919562933786	1688.8127615580895	2477.9759494553764	1956.517685886914	2365.5442205196537	1185.1359683933108	2057.313479921126	2050.9221302666074
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	1554.588021814175	1892.0751968071202	1559.4277255259806	1864.1448933278039	1836.4126259916945	1753.9898983220999	1519.2628359545731	2722.6227896296336	2159.36853038685	3689.430810882624	2008.7773701516423	3262.4729546411068	1108.1967900482116	1859.576424287632	1140.4380196516188	2092.2535503587633	1535.6349862543923	1598.6205264600594	2306.238746551988	1919.587431640263	2322.3720590157527	1362.8744050595767	2250.729423338676	1852.285812376698
CALVIN-PWY	Calvin-Benson-Bassham cycle	1498.3001063716524	1519.7393787277774	1475.2561192702758	1805.3438556664248	1651.5440546227844	1938.932675280149	1508.9678640418622	2897.161620946209	2219.3400563428518	4214.206882858879	2202.6897909349154	3315.7646202394453	1230.125403684598	2039.029660554669	1102.525299281778	2330.5432635260995	1468.476812445699	1587.1919730622947	2321.045395637916	1930.5089765646933	2363.53762366703	1282.3383015989086	2044.1497531952234	2237.8304084127194
COA-PWY	coenzyme A biosynthesis I	1245.6583427993714	1487.83	1235.9310068648585	1252.1571203005471	1489.4675897921275	1567.7916127654917	1380.3723439680136	2716.1532631086097	1907.4149300841934	3156.978181292513	1900.1191670610629	1993.7353136518232	1396.0027534448147	1800.6853589705795	1022.9385989062413	1807.902026733009	1254.680977932564	1323.035341942667	1864.6960824436762	1613.5996355064508	1944.2909975011053	1074.4620923367593	1794.761936268744	1369.179244506162
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	571.5091578263692	674.2393441975944	719.7883640786539	876.6725830606247	556.5949745624841	490.25350880904944	216.74027112328042	411.516105567393	245.2248998585103	812.1780291944724	593.5756921093437	1514.868178562903	46.98149320605854	362.45833757676263	202.12899331987046	247.2910909960914	380.9749888986572	435.62042329184806	726.9946329734879	746.9203940804092	991.9397274189453	439.0474124545957	776.5865855642212	360.8863289457128
COLANSYN-PWY	colanic acid building blocks biosynthesis	387.9620916173181	972.5949678793936	652.1581266433437	654.5152753596248	809.1564079070578	656.2820740112727	762.8920793400972	1873.2368570663525	1067.619987204372	2178.4221982006893	1285.9513739732085	1155.0555258344334	1050.327262957074	1216.6142666309738	664.3402062455137	1298.205953738457	482.37466716003786	261.55388869551115	446.1381825906272	191.24494633721145	236.0248282722799	574.3649624187641	984.2649083288966	708.3409909320677
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	775.7830622015484	1518.1927135594285	1242.5399833356566	1466.8535122104104	1286.1640915086227	1280.4672832656986	581.5583181020971	1457.6314633685693	986.6027609024173	2196.8074722434467	1369.77524601679	2723.133711469212	56.93311658838884	1164.1095947788206	546.255251224243	1003.9674484166375	532.3652330833022	500.56534843420127	745.0608341454845	837.4995246575522	1207.883726612045	123.99047215069479	1376.6455470332019	1150.0438046994086
DAPLYSINESYN-PWY	L-lysine biosynthesis I	295.85822470592046	1018.1955724233212	618.1964673790942	590.458216229526	615.9550803994879	471.264918388686	307.82966948566514	578.3399405426319	272.2866447259702	1194.4702974275153	801.1139910314873	1063.891718168862	33.03637552636421	569.6605047813722	298.26587200951286	355.7909942813119	189.9057845141411	171.6862931110906	264.91050382466574	158.45253866286086	200.14726847804818	72.90526334781953	684.5683273748823	438.28989892269635
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	981.5911159832752	1212.5402435433132	1049.4404656716674	1148.3212095408342	1226.9178758629018	537.6467720465057	829.1255611991144	1856.5080795023505	1061.2163179093834	1532.1385461398593	1090.462347838622	1210.076031353836	884.5395294305072	605.5152460072782	548.0900914765535	726.3189044019825	946.6522310690697	1006.4945125188783	1610.1668597599287	1302.4528120479015	1632.841382649674	926.1292257597709	1512.9561498247485	371.5687508348794
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	1398.7954464271845	1565.98240365186	1297.715247857543	1555.413177417288	1560.4035420652338	1555.072483389847	1327.7920316280095	2491.7526686871906	1911.2082445569897	3431.631939661447	1852.353473132372	2793.994435692809	1248.243461066215	1834.379336810488	1042.9981719922175	2019.6272977933081	1359.4666583462692	1458.8894720956507	2103.33422778337	1731.3952463161036	2059.6890965692583	1210.2691113419633	1999.1197470437698	1687.7755752840924
FASYN-ELONG-PWY	fatty acid elongation -- saturated	1478.0933625986029	1424.5872949602474	1296.720573442284	1577.6900689938946	1651.6410456422727	1585.6956572784577	1469.1144065274204	2827.993652398888	2081.2269076435755	3431.098918054013	1879.653746344816	2626.156563083287	1311.0139357643789	1754.6474525284355	1083.9765522032624	1999.630023485972	1457.3317366211365	1584.8924948924082	2337.145847659215	1915.698036911018	2314.093156950168	1293.2030492322788	2059.574582910737	1698.1797929541062
FERMENTATION-PWY	mixed acid fermentation	331.0388160997458	286.4101115064042	628.6541001754803	611.8976147902961	41.204120767118056	466.4612177247148	361.40564624027604	997.421875386991	575.0271326158066	1468.2070333063825	964.6639879744693	1045.5743042729378	615.0276676039098	684.3977879231923	365.5785659617421	588.4426317294768	50.39899863342304	145.60251485068275	139.50457433627065	156.00938655608434	193.22622021384262	42.80638450011783	90.8459265548036	448.54431821409014
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	1206.104917335493	1455.1488013003284	1266.7772564863153	1314.591283722904	1487.6532583403134	1067.6152889336463	735.6424084002194	2290.9417583262616	1791.584684276118	3047.0295956786076	1453.4292425061924	209.22228188220046	425.0431153125058	1467.9436189121564	281.1989732392571	1895.595852035296	1216.4177589310589	1373.9167663635753	2043.5900069358102	1634.4566446101835	2001.370023753185	1007.7608102471723	1757.286190961273	1613.5644804726835
FUCCAT-PWY	fucose degradation	0.0	0.0	0.0	0.0	0.0	21.992410348490214	26.729196709835488	240.1965600524956	154.63589018513824	149.59940286663084	148.22988505747125	0.0	0.0	132.70256348752258	30.609803861711068	138.7538776040164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.552457268009332
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	916.7684870402468	967.1532844332933	735.5629528278254	972.8740025625967	1054.4666548317684	1205.329738410745	1072.311439151303	1578.7643929267592	1276.4293233137994	1944.5319652886121	1174.4705318646445	2178.914871599806	874.13534002498	1240.3494400794475	853.6308867423774	1098.2072976953623	937.0502822163272	940.205881699788	1165.8280172724687	1106.9585649525281	1272.7224153070015	735.6320739057937	1214.9490853443695	894.6805659663208
GALACTUROCAT-PWY	D-galacturonate degradation I	1008.527967562992	1069.1531730482727	906.1492483526556	1228.709548646034	1124.470648012111	1431.8858899094678	1128.1662192725596	1767.8487615850156	1408.3546007615732	2342.260042336323	1386.4445730548252	2725.843319669006	930.629619213295	1413.5483956249598	899.6142571466941	1274.837041610856	991.4417266019587	1017.0270113593402	1276.672605077776	1242.9255281272447	1470.6706806190177	773.864972249116	1287.944436107274	1152.2729351343978
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	237.71123637708249	783.6889216119762	610.5307369488401	729.2153641793053	406.43616308290376	904.1407118444141	565.8920844813598	1557.3560673667942	661.6838614557221	1421.6936228467841	1033.5033446873583	2099.1814497485425	973.8712050443033	744.0575649693562	428.80234839174454	617.7985706883346	121.549085268894	178.83876498825438	281.915996340455	296.69573256855506	426.47194487431847	42.54092253896911	353.38845369245763	676.375583773581
GLUCONEO-PWY	gluconeogenesis I	1461.6868030598264	1510.8387794052207	1304.7912850078728	1606.11130090054	1623.7603864458554	1745.2566570728625	1553.8638172205747	3049.5758248841084	2273.8001262812118	3843.154112114789	2059.5249160487165	3015.6892960593327	1460.0435565813102	2029.0151317015006	1171.4214664394538	2300.348304467872	1468.9405068190515	1587.5268701505875	2296.418515611549	1879.7781867927508	2259.169703462101	1268.1093737492895	1995.8082982391338	1915.5677816037505
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	0.0	0.0	0.0	0.0	0.0	33.00323436382807	40.78126368237279	376.3618408737384	253.85920657199475	225.51999329931988	221.32793334876183	0.0	0.0	200.01007706395959	46.384798097332684	214.88441549273173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.331823905862922
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	941.5791335760221	1000.6289789007296	735.6941948858121	944.3342374108277	1117.3683060044364	1174.1226730443711	1079.0934442132552	1631.5906222647266	1328.5902849274871	1975.7306734777694	1167.5792755575615	2040.720339488285	906.2699458249792	1261.6973059563275	852.5752609529491	1159.1277253023327	987.2172506944679	1000.3033044358934	1271.7366745606255	1148.2654222964936	1311.880705150797	776.1934149201022	1282.0367012865347	894.7708762893581
GLUTORN-PWY	L-ornithine biosynthesis	1223.3131313131312	1163.0026239475724	1025.183521169662	1229.351053032225	1402.152770113674	1251.5692437511861	1170.9993782208687	2059.8475486269253	1737.8066606939353	2749.0987572555105	1365.817318691375	2224.4004916881295	884.907806171924	1446.111632310447	867.4845506588306	1717.0265549067215	1262.2328024901694	1365.9945380302113	1973.0621679444755	1591.5522189419366	1902.0698576972836	1063.0133476519418	1699.939728682641	1438.5316689543247
GLYCOCAT-PWY	glycogen degradation I (bacterial)	1431.6572115352326	1732.455005134455	1473.4513511134976	1774.2622295519525	1715.5615316346286	1758.1413299224328	1439.9707212741969	2689.825741741409	2056.960552659289	3515.952923136225	1942.6816807887467	3329.8619179737825	1164.3878482983555	1847.2528688468121	1090.94781252601	2012.400464300035	1410.3692051235846	1505.2338879938418	2171.2353554440915	1830.3000810769665	2238.8521190231954	1180.7405437000655	2009.4093044629965	1796.4259947092298
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	717.641285818308	1377.7506365851953	1143.4237425248664	1591.3422494018594	909.6436100720987	1365.9789009154013	781.3631946622916	1709.0547472303015	849.6816554818367	1961.9663330416947	1309.8948487431974	3135.904069892122	772.5725399763068	896.4388133240802	742.9029492972518	626.9670673823322	287.2847051410162	375.2089625071975	561.1900349358875	692.6743975895607	988.9883501645688	94.9929233777132	865.6186715273492	1135.5265592299675
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	1359.0284086731524	1659.2419498404415	1379.7120875476585	1601.4466055490964	1679.8068161270803	1793.6295441114298	1572.1989358698304	3046.330366566608	2207.095433661736	3797.9868850680045	2192.8143184449773	3133.586795405225	1466.4743010723362	2062.7429983132315	1208.6585161981552	2210.1690771341478	1370.1212631516091	1437.5830917930575	2018.879366489098	1658.4162017308747	1954.9312554608991	1174.901433800795	2003.3477371785987	1748.7659754906051
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	851.4877158495004	0.0	160.7392714039535	777.2346825790547	446.6852026404046	307.7623808905633	1007.3956764873512	468.37648773643366	408.17904656459336	2125.956766891943	1276.6441538776205	1824.444547541908	620.8689705848034	350.929189773786	770.8458585240027	294.90670957622797	880.931311761008	260.24016429348353	231.724997091533	507.64668316097135	467.6039416528284	985.097960653206	1314.6401301079131	438.26675312709307
HISDEG-PWY	L-histidine degradation I	431.0	55.33000000000001	352.0	379.0	373.0	181.0	91.0	530.0	501.00000000000006	941.0	240.0	19.0	50.0	284.0	7.0	699.0	407.67	603.6700000000002	1085.67	735.3299999999998	940.0	362.67	514.3299999999998	678.0
HISTSYN-PWY	L-histidine biosynthesis	1407.2844231730494	1597.9914240422781	1335.2392506579495	1617.051254515279	1634.9353764623597	1565.8682669508535	1350.5870966537093	2361.4849453033435	1944.1655182148806	3271.888221612098	1745.547497180533	2818.9953978719236	970.2770185790433	1697.9894991514593	1023.1132132713973	1909.2054780613305	1403.9290922627006	1477.8573420696	2114.281084223056	1761.9915370793005	2119.965942623167	1219.561303615188	1995.5394027051414	1661.6794241806324
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	201.83975135133431	0.0	20.76922785805495	154.0232452347137	66.98443171873943	41.239360007294714	242.2157754763772	61.88184425685264	55.850401370154344	467.0799330183837	288.8380790413018	396.1990302013186	103.40305716939385	47.03603011176103	181.33810982980373	38.440180812060056	216.45220436042976	35.39093990834918	29.70513528645413	78.460114736388	67.46814525849788	400.08882985557744	343.74049479623335	64.25430188840804
HSERMETANA-PWY	L-methionine biosynthesis III	204.78382254384837	0.0	20.79924112310832	155.64116405356197	67.12872380099914	49.04147509804746	243.07016169631584	518.4531807495289	356.47417760542504	471.834034899182	312.4818965415676	402.0383590063639	102.77749041332956	283.05664557481487	182.81483935500282	304.251145343731	218.6806648055531	35.44979563225853	29.73684417113918	78.82098784850791	67.7032310739503	412.6713281103397	348.37555691946983	64.38390553139645
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	1596.8486770398658	1861.0024987579827	1571.9400705333373	1905.7419254864747	1843.6542746443185	1813.612651949023	1554.6712757492633	2743.799218548485	2186.458370894568	3777.892238040562	2043.7876798542866	3390.462337283611	1132.2348252901168	1896.6740879891886	1167.4485925661825	2128.486371375638	1569.9365294700842	1639.2366683842306	2361.057219988691	1979.4846745571094	2395.304561532294	1397.7628707904094	2272.962283967009	1916.215881746795
LACTOSECAT-PWY	lactose and galactose degradation I	0.0	14.302114803625374	14.18631492168178	9.448818897637796	9.5125284738041	97.14285714285714	158.85714285714286	442.28571428571416	171.42857142857142	126.85714285714286	123.42857142857143	194.28571428571428	268.57142857142856	22.857142857142854	73.14285714285714	53.714285714285715	14.87719298245614	33.220338983050844	65.221269296741	14.545454545454547	14.06060606060606	7.578947368421054	3.1877394636015333	54.85714285714286
